source,distance (DIFF),type
ICD9 079,1.1333333333333335,negative
ICD9 079,1.3170731707317072,negative
ICD9 079,1.1749999999999998,negative
ICD9 079,1.1707317073170733,negative
ICD9 079,1.271186440677966,negative
ICD9 079,1.3095238095238095,negative
ICD9 079,1.2352941176470589,negative
ICD9 079,1.3250000000000002,negative
ICD9 079,1.2857142857142856,negative
ICD9 079,1.371859296482412,negative
ICD9 079,1.3867924528301887,negative
ICD9 079,1.373913043478261,negative
ICD9 079,1.405940594059406,negative
ICD9 079,1.3566433566433562,negative
ICD9 079,1.337129840546697,negative
ICD9 079,1.3253731343283583,negative
ICD9 079,1.3921568627450978,negative
ICD9 079,1.4000000000000001,negative
ICD9 079,1.3450881612090682,negative
ICD9 079,1.3125,negative
ICD9 079,1.2857142857142858,negative
ICD9 079,1.8333333333333333,negative
ICD9 079,1.3112840466926068,negative
ICD9 079,1.3697478991596639,negative
ICD9 079,1.3950617283950617,negative
ICD9 079,0.0,negative
ICD9 079,1.2,negative
ICD9 079,1.0,negative
ICD9 079,1.3368794326241136,negative
ICD9 079,1.6666666666666665,negative
ICD9 079,1.0,negative
ICD9 079,1.5217391304347827,negative
ICD9 079,1.2340425531914891,negative
ICD9 079,1.3090909090909093,negative
ICD9 079,1.3090909090909093,negative
ICD9 079,1.3038793103448278,negative
ICD9 079,1.3333333333333333,negative
ICD9 079,1.5,negative
ICD9 079,1.3333333333333333,negative
ICD9 079,1.484536082474227,negative
ICD9 079,1.2797202797202796,negative
ICD9 079,1.4,negative
ICD9 079,1.25,negative
ICD9 079,1.4268292682926822,negative
ICD9 079,1.3728813559322033,negative
ICD9 079,0.6666666666666663,negative
ICD9 079,1.25,negative
ICD9 079,1.4489795918367347,negative
ICD9 079,1.2000000000000002,negative
ICD9 079,1.1666666666666665,negative
ICD9 079,1.0,negative
ICD9 079,0.5,negative
ICD9 079,1.1538461538461537,negative
ICD9 079,1.3362831858407076,negative
ICD9 079,1.4,negative
ICD9 079,0.9375,negative
ICD9 079,1.3384615384615386,negative
ICD9 079,1.3766233766233766,negative
ICD9 079,1.3174603174603183,negative
ICD9 079,1.3333333333333335,negative
ICD9 079,1.307692307692308,negative
ICD9 079,1.3018867924528303,negative
ICD9 079,1.3018867924528303,negative
ICD9 079,1.361111111111111,negative
ICD9 079,1.3921568627450982,negative
