ICD,Protein,Protein_PPI,Protein_Num,Protein_PPI_Num
002,[3123],[3123],1,1
005,[3240],[3240],1,1
010,"[3240, 114609, 6556, 11151]","[3240, 114609, 6556, 11151]",4,4
011,"[3458, 3459, 3240, 6347, 11151, 114609, 30835, 50807, 6556]","[3458, 3459, 3240, 6347, 11151, 114609, 30835, 50807, 6556]",9,9
012,"[3240, 114609, 6556, 11151]","[3240, 114609, 6556, 11151]",4,4
013,"[3240, 114609, 6556, 11151]","[3240, 114609, 6556, 11151]",4,4
014,"[3240, 114609, 6556, 11151]","[3240, 114609, 6556, 11151]",4,4
015,"[3240, 114609, 6556, 11151]","[3240, 114609, 6556, 11151]",4,4
016,"[3240, 114609, 6556, 11151]","[3240, 114609, 6556, 11151]",4,4
017,"[3240, 114609, 6556, 11151]","[3240, 114609, 6556, 11151]",4,4
018,"[3240, 114609, 6556, 11151]","[3240, 114609, 6556, 11151]",4,4
023,[4864],[4864],1,1
025,[7100],[7100],1,1
027,"[7124, 1540, 999]","[7124, 1540, 999]",3,3
030,"[283234, 10981, 5071, 4049, 149233, 55509, 7096, 7097, 6556]","[283234, 10981, 5071, 4049, 149233, 55509, 7096, 7097, 6556]",9,9
031,"[3459, 3460, 3594, 6772, 6556]","[3459, 3460, 3594, 6772, 6556]",5,5
036,"[3075, 1636, 1675, 5199, 6556, 10878, 735]","[3075, 1636, 1675, 5199, 6556, 10878, 735]",7,7
038,"[7040, 3458, 3586, 133, 7045, 135, 136, 284, 1440, 4282, 7099, 836, 3146, 4049, 7124, 3929, 5594, 5595, 4318, 4843, 4846, 3440, 5624, 3579]","[7040, 3586, 3458, 133, 7045, 135, 136, 284, 1440, 4282, 7099, 836, 3146, 4049, 7124, 3929, 5594, 5595, 4318, 4843, 4846, 3440, 5624, 3579]",24,24
040,"[358, 4843, 2638, 3122, 7124, 728]","[358, 4843, 2638, 3122, 7124, 728]",6,6
041,"[3459, 5243]","[5243, 3459]",2,2
042,"[3586, 1026, 9230, 3608, 3106, 3107, 7203, 10280, 5685, 4150, 5687, 5686, 4153, 10808, 5692, 6722, 5699, 581, 5702, 5705, 5709, 5714, 5719, 5720, 5721, 5727, 4193, 7266, 3692, 1647, 30835, 9861, 7307, 729230, 5265, 154, 23198, 2208, 1192, 3240, 10946, 10436, 6347, 6348, 6349, 6352, 1232, 1234, 6356, 213, 6880, 3811, 10980, 10981, 3313, 6387, 3315, 3320, 3837, 3326, 3329, 5901, 5902, 6421, 6426, 10527, 9531, 4927, 329, 330, 10574, 335, 4953, 10594, 5479, 4968, 7528, 23411, 85363, 3458, 393, 396, 397, 80273, 2971, 6556, 64411, 22948, 940, 1973, 1978, 7098, 10189, 10197, 8662, 10204, 4067, 998, 3558, 3559, 6634, 8683, 3566, 1524, 3577, 3068]","[1026, 3586, 9230, 3608, 3106, 7203, 3107, 10280, 5685, 5686, 5687, 10808, 4153, 4150, 5692, 6722, 5699, 581, 5702, 5705, 5709, 5714, 5719, 5720, 5721, 5727, 4193, 7266, 3692, 1647, 30835, 9861, 7307, 729230, 5265, 154, 23198, 2208, 1192, 3240, 10946, 10436, 6347, 6348, 6349, 6352, 1232, 1234, 6356, 213, 6880, 3811, 10980, 10981, 3313, 3315, 6387, 3320, 3837, 3326, 3329, 5901, 5902, 6421, 6426, 10527, 9531, 4927, 329, 330, 10574, 335, 4953, 10594, 5479, 7528, 4968, 23411, 85363, 3458, 393, 396, 397, 80273, 64411, 2971, 6556, 22948, 940, 1973, 7098, 1978, 10189, 10197, 8662, 10204, 4067, 998, 3558, 3559, 6634, 8683, 3566, 1524, 3577, 3068]",106,106
045,[5817],[5817],1,1
046,"[79974, 8360, 3822, 3119, 7280, 22926, 692157, 151507, 780851, 5621, 216, 79644, 319101]","[79974, 8360, 22926, 3119, 7280, 3822, 151507, 5621, 216, 79644, 319101]",13,11
054,"[7098, 3661, 7187, 81622, 29110, 148022, 5818, 5819]","[3661, 7187, 81622, 29110, 148022, 7098, 5819, 5818]",8,8
055,[4179],[4179],1,1
061,[30835],[30835],1,1
066,[1234],[1234],1,1
070,"[3458, 23586, 3077, 1576, 4988, 1548, 975, 3440, 4015, 1234, 4017, 949, 4023, 282617, 5788]","[3458, 23586, 3077, 4988, 1576, 1548, 4015, 975, 4017, 1234, 3440, 949, 4023, 282617, 5788]",15,15
078,"[6772, 147138, 11322, 7415]","[147138, 11322, 6772, 7415]",4,4
079,"[4938, 1636, 2214]","[4938, 1636, 2214]",3,3
083,"[10211, 10411, 3949, 4047, 3156, 1718]","[10211, 10411, 3949, 4047, 3156, 1718]",6,6
084,"[1154, 1401, 2212, 2213, 3240, 6320, 2993, 2994, 2995, 948, 114609, 3383, 7124, 4055, 1378, 3043, 2532, 355, 4843, 2539, 6521, 259197]","[1154, 2212, 2213, 3240, 6521, 6320, 114609, 2993, 2994, 948, 2995, 3383, 7124, 4055, 1378, 3043, 355, 2532, 4843, 2539, 1401, 259197]",22,22
085,"[3458, 3587, 3586, 3606, 6556, 1437, 3117, 3123, 4170, 6347, 8784, 7124, 4313, 3162, 3553, 3565, 3569, 3576, 1401, 383]","[3586, 3587, 3458, 3606, 6556, 1437, 3117, 3123, 4170, 6347, 8784, 7124, 4313, 3162, 3553, 3565, 3569, 3576, 1401, 383]",20,20
086,[8542],[8542],1,1
087,[3557],[3557],1,1
094,"[3329, 26278, 5354, 57679, 51062, 3798, 123606, 6683, 6687]","[3329, 26278, 5354, 57679, 123606, 3798, 51062, 6683, 6687]",9,9
110,[64170],[64170],1,1
112,"[4057, 326]","[4057, 326]",2,2
117,"[51267, 64581, 1910]","[51267, 64581, 1910]",3,3
120,"[7078, 4843, 11186, 6647, 54106, 5052]","[7078, 4843, 11186, 6647, 54106, 5052]",6,6
121,[1548],[1548],1,1
122,"[7018, 3043, 213]","[7018, 3043, 213]",3,3
127,"[4353, 3458]","[4353, 3458]",2,2
135,"[7040, 3115, 3123, 56244, 3606, 311, 6648, 6556, 64127]","[7040, 3115, 3123, 56244, 3606, 311, 6648, 6556, 64127]",9,9
136,"[3586, 3592, 3106, 51752, 170679, 3383, 101928376, 7099, 5054, 196, 337867, 1230, 335, 720, 847, 338, 355, 3683, 3689, 8302, 149233, 4210, 6775, 3576]","[3586, 3592, 3106, 51752, 3383, 170679, 7099, 5054, 196, 337867, 1230, 847, 335, 720, 338, 3683, 355, 3689, 8302, 149233, 4210, 6775, 3576]",24,23
140,"[6528, 4609, 10370, 3845, 1029, 406918, 54663, 9, 2952, 5243, 7442, 2067, 2194, 3606, 10232, 8091, 1436, 10395, 54431, 672, 100506658, 9446, 6648, 112939, 389421, 3757, 26799, 1969, 2740, 823, 57016, 2878, 1728, 6722, 196, 3397, 9290, 1869, 79949, 847, 5329, 472, 5465, 4057, 8797, 3934, 6750, 3297, 3553, 6502, 7015, 57448, 7528, 1386, 2923, 23526, 3558, 9582, 5743, 79727, 7403, 4846, 7150, 692088, 200315, 7421, 7422, 10495]","[6528, 4609, 10370, 3845, 1029, 54663, 2952, 9, 2194, 2067, 7442, 3606, 10232, 10395, 1436, 8091, 54431, 672, 100506658, 9446, 112939, 3757, 389421, 26799, 1969, 2740, 823, 57016, 2878, 1728, 6722, 196, 3397, 9290, 1869, 79949, 847, 5329, 692088, 472, 5465, 4057, 200315, 8797, 3934, 6750, 3297, 3553, 6502, 7015, 23526, 7528, 57448, 2923, 3558, 1386, 7150, 79727, 4846, 5743, 9582, 7403, 6648, 5243, 7421, 7422, 10495]",68,67
141,"[6528, 4609, 10370, 1410, 7298, 3845, 1029, 406918, 54663, 9, 2952, 5243, 7442, 2067, 2194, 3861, 3606, 10232, 8091, 1436, 10395, 54431, 672, 100506658, 9446, 6648, 112939, 389421, 3757, 26799, 1969, 2740, 823, 57016, 2878, 1728, 3265, 6722, 196, 3397, 9290, 1869, 79949, 847, 5329, 472, 5465, 4057, 8797, 3934, 6750, 407007, 3297, 3553, 7012, 6502, 7015, 57448, 360, 7528, 1386, 2923, 23526, 9582, 5743, 79727, 3558, 7403, 4846, 7150, 3315, 692088, 200315, 7421, 7422, 10495]","[6528, 4609, 1410, 7298, 10370, 3845, 1029, 54663, 2952, 9, 7403, 2194, 2067, 7442, 3861, 3606, 10232, 10395, 1436, 8091, 54431, 672, 100506658, 9446, 112939, 3757, 389421, 26799, 1969, 2740, 823, 57016, 2878, 1728, 3265, 6722, 196, 3397, 9290, 1869, 79949, 847, 5329, 692088, 472, 5465, 4057, 200315, 8797, 3934, 6750, 3297, 3553, 7012, 6502, 7015, 23526, 7528, 360, 2923, 57448, 3558, 7150, 79727, 4846, 1386, 5743, 3315, 9582, 6648, 5243, 7421, 7422, 10495]",76,74
142,"[4609, 6659, 1029, 6664, 9, 2067, 3606, 100506658, 5174, 5176, 2620, 2621, 6722, 23619, 9290, 57419, 1612, 79949, 595, 53335, 8797, 6750, 57448, 3691, 5743, 50805, 5243, 200315, 2175, 10370, 81029, 2194, 2195, 10395, 54431, 672, 6648, 23209, 54441, 3757, 26799, 2740, 182, 57016, 1728, 259266, 196, 5834, 27344, 5329, 3297, 9446, 7403, 4846, 9454, 7421, 7422, 10495, 54531, 3845, 3852, 7442, 51477, 3866, 112939, 389421, 823, 51514, 2878, 3397, 23373, 1869, 847, 6484, 5465, 3934, 358, 6502, 7015, 7528, 1386, 2923, 9582, 79727, 692088, 6528, 406918, 54663, 2952, 8091, 1436, 3485, 2982, 81831, 80303, 1969, 1462, 51659, 5587, 472, 84441, 4057, 2011, 3553, 2019, 9700, 23526, 999, 3558, 7150, 7153, 4082, 23543, 10232, 6651]","[4609, 6659, 1029, 6664, 9, 2067, 3606, 100506658, 5174, 5176, 2620, 2621, 6722, 23619, 9290, 1612, 79949, 595, 53335, 8797, 6750, 57448, 3691, 5743, 50805, 5243, 200315, 2175, 10370, 81029, 2194, 2195, 10395, 54431, 672, 6648, 23209, 54441, 3757, 26799, 2740, 182, 57016, 1728, 259266, 196, 5834, 27344, 5329, 3297, 9446, 7403, 9454, 4846, 7421, 7422, 10495, 54531, 3845, 3852, 7442, 51477, 3866, 112939, 389421, 823, 51514, 2878, 3397, 1869, 23373, 847, 6484, 5465, 3934, 6502, 358, 7015, 7528, 1386, 2923, 9582, 79727, 692088, 6528, 54663, 2952, 8091, 1436, 3485, 2982, 81831, 80303, 1969, 1462, 51659, 5587, 472, 4057, 84441, 2011, 3553, 2019, 9700, 23526, 999, 3558, 7150, 7153, 4082, 23543, 10232, 6651]",115,113
143,"[6528, 4609, 10370, 3845, 1029, 406918, 54663, 9, 2952, 5243, 7442, 2067, 2194, 3606, 10232, 8091, 1436, 10395, 54431, 672, 100506658, 9446, 6648, 112939, 389421, 3757, 26799, 1969, 2740, 823, 57016, 2878, 1728, 6722, 196, 3397, 9290, 1869, 79949, 847, 5329, 79058, 472, 5465, 4057, 8797, 3934, 6750, 3297, 3553, 6502, 7015, 57448, 7528, 1386, 2923, 23526, 3558, 9582, 5743, 79727, 7403, 4846, 7150, 692088, 200315, 7421, 7422, 10495]","[6528, 4609, 10370, 3845, 1029, 54663, 2952, 9, 2194, 2067, 7442, 3606, 10232, 10395, 1436, 8091, 54431, 672, 100506658, 9446, 112939, 3757, 389421, 26799, 1969, 2740, 823, 57016, 2878, 1728, 6722, 196, 3397, 9290, 1869, 79949, 847, 5329, 79058, 692088, 472, 5465, 4057, 200315, 8797, 3934, 6750, 3297, 3553, 6502, 7015, 23526, 7528, 57448, 2923, 3558, 1386, 7150, 79727, 4846, 5743, 9582, 7403, 6648, 5243, 7421, 7422, 10495]",69,68
144,"[6528, 4609, 10370, 3845, 1029, 406918, 54663, 9, 2952, 5243, 7442, 2067, 2194, 3606, 10232, 8091, 1436, 10395, 54431, 672, 100506658, 9446, 6648, 112939, 389421, 3757, 26799, 1969, 2740, 823, 57016, 2878, 1728, 6722, 196, 3397, 9290, 1869, 79949, 847, 5329, 472, 5465, 4057, 8797, 3934, 6750, 3297, 3553, 6502, 7015, 57448, 7528, 1386, 2923, 23526, 3558, 9582, 5743, 79727, 7403, 4846, 7150, 692088, 200315, 7421, 7422, 10495]","[6528, 4609, 10370, 3845, 1029, 54663, 2952, 9, 2194, 2067, 7442, 3606, 10232, 10395, 1436, 8091, 54431, 672, 100506658, 9446, 112939, 3757, 389421, 26799, 1969, 2740, 823, 57016, 2878, 1728, 6722, 196, 3397, 9290, 1869, 79949, 847, 5329, 692088, 472, 5465, 4057, 200315, 8797, 3934, 6750, 3297, 3553, 6502, 7015, 23526, 7528, 57448, 2923, 3558, 1386, 7150, 79727, 4846, 5743, 9582, 7403, 6648, 5243, 7421, 7422, 10495]",68,67
145,"[4609, 1029, 1545, 9, 100048912, 2067, 3606, 540, 100506658, 2597, 11321, 6722, 9290, 79949, 10319, 7248, 7249, 3158, 8797, 6750, 5223, 57448, 5743, 5747, 56952, 5243, 200315, 125, 126, 10370, 131, 3202, 81037, 2194, 10395, 10397, 54431, 672, 4255, 10399, 3236, 3237, 6648, 5290, 3757, 6317, 26799, 2740, 57016, 1728, 3265, 2243, 196, 6347, 7372, 5329, 3297, 9446, 7403, 4846, 3312, 3315, 7417, 2810, 7421, 7422, 10495, 3845, 3854, 7442, 1834, 112939, 389421, 301, 302, 308, 823, 3383, 2878, 3397, 28998, 1869, 847, 5465, 3934, 6502, 7015, 7528, 5478, 1386, 2923, 9582, 79727, 23410, 692088, 3963, 6528, 1410, 406918, 54663, 2952, 4489, 10135, 8091, 1436, 7074, 1969, 472, 4057, 3553, 23526, 3558, 2023, 7150, 7157, 10232, 7167]","[4609, 1029, 9, 1545, 2067, 3606, 540, 100506658, 2597, 11321, 6722, 9290, 79949, 10319, 7248, 7249, 3158, 8797, 6750, 5223, 57448, 5743, 5747, 56952, 5243, 200315, 125, 126, 3202, 10370, 131, 81037, 2194, 10395, 10397, 10399, 672, 4255, 54431, 3236, 3237, 6648, 5290, 3757, 6317, 26799, 2740, 57016, 1728, 3265, 2243, 196, 6347, 7372, 5329, 3297, 9446, 7403, 4846, 3312, 3315, 7417, 2810, 7421, 7422, 10495, 3845, 3854, 7442, 1834, 112939, 301, 302, 389421, 308, 823, 3383, 2878, 3397, 28998, 1869, 847, 5465, 3934, 5478, 6502, 7015, 7528, 1386, 2923, 9582, 79727, 23410, 692088, 3963, 6528, 1410, 54663, 2952, 4489, 10135, 8091, 1436, 7074, 1969, 472, 4057, 3553, 23526, 2023, 3558, 7150, 7157, 10232, 7167]",117,115
146,"[6528, 4609, 10370, 3845, 1029, 406918, 54663, 9, 2952, 5243, 7442, 2067, 2194, 3606, 10232, 8091, 1436, 10395, 54431, 672, 100506658, 9446, 6648, 112939, 389421, 3757, 26799, 1969, 2740, 823, 57016, 2878, 1728, 6722, 196, 3397, 9290, 1869, 79949, 847, 5329, 472, 5465, 4057, 8797, 3934, 6750, 3297, 3553, 6502, 7015, 57448, 7528, 1386, 2923, 23526, 3558, 9582, 5743, 79727, 7403, 4846, 7150, 692088, 200315, 7421, 7422, 10495]","[6528, 4609, 10370, 3845, 1029, 54663, 2952, 9, 2194, 2067, 7442, 3606, 10232, 10395, 1436, 8091, 54431, 672, 100506658, 9446, 112939, 3757, 389421, 26799, 1969, 2740, 823, 57016, 2878, 1728, 6722, 196, 3397, 9290, 1869, 79949, 847, 5329, 692088, 472, 5465, 4057, 200315, 8797, 3934, 6750, 3297, 3553, 6502, 7015, 23526, 7528, 57448, 2923, 3558, 1386, 7150, 79727, 4846, 5743, 9582, 7403, 6648, 5243, 7421, 7422, 10495]",68,67
147,"[6528, 4609, 10370, 3845, 1029, 406918, 54663, 9, 2952, 5243, 7442, 2067, 2194, 3606, 10232, 8091, 1436, 10395, 54431, 672, 100506658, 9446, 6648, 112939, 389421, 3757, 26799, 1969, 2740, 823, 57016, 4792, 2878, 1728, 6722, 196, 3397, 9290, 1869, 79949, 847, 5329, 472, 5465, 4057, 8797, 3934, 6750, 3297, 3553, 6502, 7015, 57448, 7528, 1386, 2923, 23526, 3558, 9582, 5743, 79727, 7403, 4846, 7150, 7157, 692088, 200315, 7421, 7422, 10495]","[6528, 4609, 10370, 3845, 1029, 54663, 2952, 9, 2194, 2067, 7442, 3606, 10232, 10395, 1436, 8091, 54431, 672, 100506658, 9446, 112939, 3757, 389421, 26799, 1969, 2740, 823, 4792, 57016, 2878, 1728, 6722, 196, 3397, 9290, 1869, 79949, 847, 5329, 692088, 472, 5465, 4057, 200315, 8797, 3934, 6750, 3297, 3553, 6502, 7015, 23526, 7528, 57448, 2923, 3558, 1386, 7150, 79727, 4846, 5743, 9582, 7403, 7157, 6648, 5243, 7421, 7422, 10495]",70,69
148,"[6528, 4609, 10370, 3845, 1029, 406918, 54663, 9, 2952, 5243, 7442, 2067, 2194, 3606, 10232, 8091, 1436, 10395, 54431, 672, 100506658, 9446, 6648, 112939, 389421, 3757, 26799, 1969, 2740, 823, 57016, 2878, 1728, 6722, 196, 3397, 9290, 1869, 79949, 847, 5329, 472, 5465, 4057, 8797, 3934, 6750, 3297, 3553, 6502, 7015, 57448, 7528, 1386, 2923, 23526, 3558, 9582, 5743, 79727, 7403, 4846, 7150, 692088, 200315, 7421, 7422, 10495]","[6528, 4609, 10370, 3845, 1029, 54663, 2952, 9, 2194, 2067, 7442, 3606, 10232, 10395, 1436, 8091, 54431, 672, 100506658, 9446, 112939, 3757, 389421, 26799, 1969, 2740, 823, 57016, 2878, 1728, 6722, 196, 3397, 9290, 1869, 79949, 847, 5329, 692088, 472, 5465, 4057, 200315, 8797, 3934, 6750, 3297, 3553, 6502, 7015, 23526, 7528, 57448, 2923, 3558, 1386, 7150, 79727, 4846, 5743, 9582, 7403, 6648, 5243, 7421, 7422, 10495]",68,67
149,"[6528, 4609, 10370, 131, 3845, 1029, 406918, 54663, 9, 2952, 5243, 7442, 2067, 2194, 3606, 10232, 8091, 1436, 10395, 54431, 672, 100506658, 9446, 6648, 112939, 389421, 3757, 26799, 1969, 2740, 823, 57016, 2878, 1728, 6722, 196, 3397, 9290, 1869, 79949, 847, 5329, 472, 5465, 4057, 7421, 8797, 3934, 6750, 3297, 3553, 6502, 7015, 57448, 7528, 1386, 2923, 23526, 3558, 9582, 5743, 79727, 7403, 4846, 7150, 692088, 200315, 125, 7422, 10495]","[6528, 4609, 10370, 131, 3845, 1029, 54663, 2952, 9, 2194, 2067, 7442, 3606, 10232, 10395, 1436, 8091, 54431, 672, 100506658, 9446, 112939, 3757, 389421, 26799, 1969, 2740, 823, 57016, 2878, 1728, 6722, 196, 3397, 9290, 1869, 79949, 847, 5329, 692088, 472, 5465, 4057, 200315, 8797, 3934, 6750, 3297, 3553, 6502, 7015, 23526, 7528, 57448, 2923, 3558, 1386, 7150, 79727, 4846, 5743, 9582, 7403, 125, 6648, 5243, 7421, 7422, 10495]",70,69
150,"[7168, 4609, 7171, 1029, 9, 407054, 2064, 2067, 3606, 25, 51738, 51741, 100506658, 2597, 1588, 1592, 60, 6722, 581, 60487, 9290, 79949, 595, 596, 597, 8797, 1630, 6750, 57448, 5742, 5743, 7284, 56950, 4215, 5243, 200315, 5245, 125, 10370, 131, 4233, 2194, 8856, 10395, 56475, 54431, 672, 26272, 6648, 3757, 6317, 26799, 7345, 2740, 57016, 1728, 196, 3791, 5329, 217, 3297, 4323, 2788, 9446, 7403, 4843, 4846, 90355, 246, 2810, 7421, 7422, 10495, 3845, 7442, 112939, 220972, 389421, 823, 2878, 3397, 841, 331, 1869, 847, 2898, 5465, 7001, 7517, 3934, 864, 6502, 7015, 360, 7528, 1386, 2923, 2920, 9582, 79727, 3958, 692088, 6528, 1410, 148867, 406918, 54663, 7048, 2952, 902, 7052, 4495, 27030, 406937, 8091, 1436, 1440, 6049, 1956, 11178, 1969, 5052, 11197, 6591, 406985, 11214, 406991, 472, 4057, 3553, 23526, 3558, 2023, 27113, 7150, 1012, 7157, 10232, 100128252]","[7168, 4609, 7171, 1029, 9, 407054, 2064, 2067, 3606, 25, 51738, 51741, 100506658, 2597, 1588, 1592, 60, 6722, 581, 60487, 9290, 79949, 595, 596, 597, 8797, 1630, 6750, 57448, 5742, 5743, 7284, 56950, 4215, 5243, 200315, 125, 5245, 10370, 131, 4233, 2194, 8856, 56475, 10395, 54431, 672, 26272, 3757, 6317, 26799, 7345, 2740, 57016, 1728, 196, 3791, 5329, 217, 3297, 4323, 2788, 9446, 4843, 7403, 4846, 90355, 246, 2810, 7421, 7422, 10495, 3845, 7442, 10232, 112939, 220972, 389421, 823, 2878, 3397, 841, 331, 1869, 847, 2898, 5465, 7001, 7517, 3934, 864, 6502, 7015, 7528, 360, 1386, 2923, 2920, 9582, 79727, 3958, 692088, 6528, 1410, 148867, 902, 54663, 7048, 2952, 7052, 4495, 27030, 406937, 8091, 1436, 1440, 6049, 1956, 11178, 1969, 5052, 11197, 6591, 406985, 11214, 472, 4057, 3553, 23526, 3558, 2023, 27113, 7150, 1012, 7157, 6648, 100128252]",139,137
151,"[9, 2064, 2065, 2067, 2068, 100124700, 83998, 4139, 6194, 6209, 70, 79949, 6223, 6227, 6231, 10330, 51292, 4089, 8289, 2149, 57448, 6257, 30834, 8313, 8314, 123, 10370, 4233, 2194, 153, 154, 10395, 2203, 51366, 174, 26799, 6141, 186, 4291, 196, 4292, 553158, 4297, 245972, 213, 2263, 2266, 220, 4316, 4319, 2272, 90338, 10468, 229, 2286, 240, 10495, 57610, 10528, 112939, 389421, 28973, 51501, 308, 10550, 324, 8516, 28998, 328, 329, 332, 10574, 335, 8530, 4436, 6502, 6506, 374, 6528, 387, 53635, 4487, 51594, 84364, 4502, 27034, 8611, 4524, 29108, 55739, 55743, 8644, 80324, 80328, 8660, 6615, 472, 2520, 6628, 2534, 4582, 4588, 131566, 4595, 501, 4599, 6648, 27131, 4609, 27145, 51728, 51741, 545, 8744, 6700, 84527, 6721, 6722, 595, 598, 4695, 8797, 6750, 8802, 4719, 627, 4723, 6774, 637, 645, 650, 655, 664, 8857, 84634, 672, 673, 23201, 84654, 2737, 2740, 27339, 23246, 4846, 4853, 759, 760, 4869, 6926, 8991, 4907, 84790, 823, 2878, 841, 843, 847, 857, 864, 7015, 2923, 7022, 11122, 7039, 2950, 2952, 7056, 9123, 7078, 5036, 9136, 11197, 5054, 5055, 960, 11200, 5071, 7124, 5080, 56287, 23526, 999, 1000, 7150, 7157, 84981, 1019, 9212, 1026, 1027, 7170, 1029, 1032, 9235, 100506658, 5160, 125997, 1075, 9277, 9290, 29777, 3162, 5223, 3191, 5243, 7291, 5245, 3199, 1152, 7298, 58508, 5265, 1182, 54431, 5290, 1201, 3265, 29894, 54474, 7372, 5325, 5328, 5329, 25824, 3297, 9446, 7403, 3312, 3315, 7421, 7422, 3329, 7442, 3350, 1316, 5426, 3384, 3397, 3400, 79187, 1365, 5465, 7515, 3420, 5468, 7517, 5478, 7528, 5480, 1386, 9582, 406918, 54663, 5518, 5524, 1436, 3486, 3490, 116135, 5550, 100507056, 5562, 5564, 1469, 64963, 5579, 54739, 1496, 5594, 5595, 5599, 3553, 3557, 3558, 1514, 3569, 3570, 5621, 3576, 100128252, 9725, 1548, 3604, 3606, 5655, 26135, 26137, 3621, 7730, 9788, 3659, 9805, 56915, 3678, 1636, 1642, 54894, 5743, 1647, 200315, 50813, 1674, 3725, 5792, 5793, 3757, 57016, 1728, 81605, 3814, 1786, 1789, 5886, 3845, 1798, 1806, 3856, 79633, 5915, 5918, 1839, 5947, 5950, 8000, 1869, 51035, 3934, 1890, 51042, 1892, 1893, 5997, 79727, 3958, 692088, 1915, 1917, 10131, 3992, 8091, 1956, 10148, 1969, 59340, 6095, 8148, 4057, 26585, 2023, 4074, 79852, 10232, 6137, 6138, 51196, 8189, 8190]","[9, 2064, 2065, 2067, 2068, 100124700, 83998, 4139, 6194, 6209, 70, 79949, 6223, 6227, 6231, 10330, 51292, 8289, 2149, 57448, 6257, 30834, 8313, 8314, 123, 10370, 4233, 2194, 153, 154, 10395, 2203, 6137, 51366, 174, 26799, 6141, 186, 4291, 4292, 196, 553158, 4297, 245972, 213, 2263, 2266, 220, 4316, 4319, 2272, 90338, 10468, 229, 2286, 240, 10495, 57610, 10528, 112939, 51501, 28973, 389421, 308, 10550, 324, 8516, 28998, 328, 329, 332, 10574, 335, 8530, 4436, 6502, 6506, 374, 6528, 387, 53635, 4487, 51594, 84364, 4502, 27034, 8611, 4524, 29108, 55739, 55743, 8644, 80324, 80328, 8660, 6615, 2520, 472, 6628, 2534, 4582, 131566, 4595, 501, 4599, 6648, 27131, 4609, 27145, 51728, 51741, 545, 8744, 6700, 84527, 6721, 6722, 595, 598, 4695, 8797, 6750, 8802, 4719, 627, 4723, 6774, 637, 645, 650, 655, 664, 8857, 84634, 672, 673, 23201, 84654, 2737, 2740, 27339, 23246, 4846, 4853, 759, 760, 4869, 6926, 8991, 4907, 84790, 823, 2878, 841, 843, 847, 857, 864, 7015, 2923, 7022, 11122, 7039, 2950, 2952, 7056, 9123, 7078, 5036, 9136, 11197, 5054, 5055, 960, 11200, 5071, 7124, 5080, 56287, 23526, 999, 1000, 7150, 7157, 84981, 1019, 9212, 1026, 1027, 7170, 1029, 1032, 9235, 100506658, 5160, 125997, 1075, 9277, 9290, 29777, 3162, 5223, 3191, 5243, 7291, 5245, 3199, 1152, 7298, 58508, 5265, 1182, 54431, 5290, 1201, 3265, 29894, 54474, 7372, 5325, 5328, 5329, 25824, 3297, 9446, 7403, 3312, 3315, 7421, 7422, 3329, 7442, 3350, 1316, 5426, 3384, 3397, 3400, 79187, 1365, 5465, 7515, 5468, 7517, 3420, 5478, 7528, 5480, 1386, 9582, 54663, 5518, 5524, 1436, 3486, 3490, 116135, 5550, 5562, 5564, 1469, 64963, 5579, 54739, 1496, 5594, 5595, 5599, 3553, 3557, 3558, 1514, 3569, 3570, 5621, 3576, 100128252, 9725, 1548, 3604, 3606, 26135, 5655, 26137, 3621, 7730, 9788, 3659, 9805, 56915, 3678, 1636, 1642, 54894, 1647, 5743, 200315, 50813, 1674, 3725, 5792, 5793, 3757, 57016, 1728, 81605, 3814, 1786, 1789, 5886, 3845, 1798, 1806, 3856, 79633, 5915, 1839, 5947, 5950, 8000, 1869, 51035, 3934, 51042, 1890, 1892, 1893, 5997, 79727, 3958, 692088, 1915, 1917, 10131, 3992, 8091, 1956, 10148, 1969, 6095, 8148, 26585, 4057, 2023, 4074, 10232, 4089, 6138, 51196, 8189, 8190]",357,351
152,"[6528, 4609, 10370, 3845, 1029, 406918, 54663, 9, 2952, 5243, 7442, 2067, 2194, 3606, 10232, 8091, 1436, 10395, 54431, 672, 100506658, 9446, 6648, 112939, 389421, 3757, 26799, 1969, 2740, 823, 57016, 2878, 1728, 6722, 196, 3397, 9290, 1869, 79949, 847, 5329, 472, 5465, 4057, 8797, 3934, 6750, 3297, 3553, 6502, 7015, 57448, 7528, 1386, 2923, 23526, 3558, 9582, 5743, 79727, 7403, 4846, 7150, 692088, 200315, 7421, 7422, 10495]","[6528, 4609, 10370, 3845, 1029, 54663, 2952, 9, 2194, 2067, 7442, 3606, 10232, 10395, 1436, 8091, 54431, 672, 100506658, 9446, 112939, 3757, 389421, 26799, 1969, 2740, 823, 57016, 2878, 1728, 6722, 196, 3397, 9290, 1869, 79949, 847, 5329, 692088, 472, 5465, 4057, 200315, 8797, 3934, 6750, 3297, 3553, 6502, 7015, 23526, 7528, 57448, 2923, 3558, 1386, 7150, 79727, 4846, 5743, 9582, 7403, 6648, 5243, 7421, 7422, 10495]",68,67
