"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0007159","leukocyte cell-cell adhesion","7/9","419/18870",8.77490184282327e-11,1.0775579462987e-07,2.46620925477243e-08,"3383/3553/3569/3586/6403/7124/7356",7
"BP","GO:0032496","response to lipopolysaccharide","6/9","348/18870",3.02169011011634e-09,1.60908115402219e-06,3.68270759578198e-07,"3553/3569/3586/6403/7124/7356",6
"BP","GO:0002237","response to molecule of bacterial origin","6/9","369/18870",4.29285675948544e-09,1.60908115402219e-06,3.68270759578198e-07,"3553/3569/3586/6403/7124/7356",6
"BP","GO:1903037","regulation of leukocyte cell-cell adhesion","6/9","382/18870",5.28193306290166e-09,1.60908115402219e-06,3.68270759578198e-07,"3553/3569/3586/6403/7124/7356",6
"BP","GO:0050900","leukocyte migration","6/9","396/18870",6.55163336328255e-09,1.60908115402219e-06,3.68270759578198e-07,"3383/3553/3569/3586/6403/7124",6
"BP","GO:0022407","regulation of cell-cell adhesion","6/9","493/18870",2.42476462644502e-08,4.77799708412031e-06,1.09354124932292e-06,"3553/3569/3586/6403/7124/7356",6
"BP","GO:0034116","positive regulation of heterotypic cell-cell adhesion","3/9","14/18870",2.72361397303275e-08,4.77799708412031e-06,1.09354124932292e-06,"3553/3586/7124",3
"BP","GO:0002703","regulation of leukocyte mediated immunity","5/9","249/18870",4.63844514167179e-08,7.1200132924662e-06,1.6295590168768e-06,"3383/3553/3569/3586/7124",5
"BP","GO:0150078","positive regulation of neuroinflammatory response","3/9","18/18870",6.09985911935893e-08,8.32291888730307e-06,1.9048682863963e-06,"3553/3569/7124",3
"BP","GO:0032677","regulation of interleukin-8 production","4/9","103/18870",1.03287349946369e-07,1.03572472813015e-05,2.37046547583362e-06,"3553/3569/3586/7124",4
"BP","GO:0032637","interleukin-8 production","4/9","104/18870",1.07395988977993e-07,1.03572472813015e-05,2.37046547583362e-06,"3553/3569/3586/7124",4
"BP","GO:0032642","regulation of chemokine production","4/9","104/18870",1.07395988977993e-07,1.03572472813015e-05,2.37046547583362e-06,"3553/3569/3586/7124",4
