Protein,Corr,RR
1636,0.4457576450745715,62.53113850617464
3162,0.4266972521907914,83.6094286222179
2778,0.3976800763609185,29.494182406913694
5173,0.3629869117848249,25.045177484318863
9518,0.2874955007666245,37.00725706903874
7356,0.2632779189545199,16.7549621870283
5327,0.235852682579335,28.542396198430907
5116,0.1446516783099309,47.20425059526176
5577,0.13328938291333509,11.127904985995702
6648,0.1054499236609611,7.6782623850179235
3066,0.1046049161452137,35.66050419752059
2717,0.10197181682829831,18.273586596702106
7879,0.0977530667217541,18.40421025672346
166,0.0977530667217541,18.40421025672346
2150,0.0977530667217541,18.40421025672346
2876,0.0877604807930531,9.272039409785268
1786,0.0865730020647027,30.22569485195268
5468,0.08600557346604891,3.7097631120968417
348,0.08600557346604891,3.7097631120968417
4023,0.08600557346604891,3.7097631120968417
3688,0.0797859342957558,7.552212468543604
1291,0.0797859342957558,7.552212468543604
10516,0.0797859342957558,7.552212468543604
3630,0.0655762174291815,4.397417967954025
7124,0.0655762174291815,4.397417967954025
5422,0.0642510612101766,6.97525318018606
10280,0.0642510612101766,6.97525318018606
1312,0.0642510612101766,6.97525318018606
57534,0.0642510612101766,6.97525318018606
3553,0.0629444502034526,8.040440295965386
4928,0.057294636748004196,5.125610306197633
4758,0.054191103759471504,2.704944346776875
34,0.0535034486175793,3.5756925174520986
2671,0.0461876150532187,5.977163136393451
208,0.0438931405830701,1.2950308533930237
335,0.0438931405830701,1.2950308533930237
83729,0.0438931405830701,1.2950308533930237
857,0.0438931405830701,1.2950308533930237
1071,0.0438931405830701,1.2950308533930237
10577,0.0438931405830701,1.2950308533930237
3990,0.0438931405830701,1.2950308533930237
8540,0.0438931405830701,1.2950308533930237
9510,0.0418293246295333,23.113879782138966
3416,0.0418293246295333,23.113879782138966
55676,0.0418293246295333,23.113879782138966
5265,0.0400278104001843,3.1337484333458514
23177,0.0386186265418802,4.058990005078114
5318,0.0386186265418802,4.058990005078114
6581,0.0255484070289972,1.263669534608174
129787,0.0255484070289972,1.263669534608174
5743,0.0255484070289972,1.263669534608174
5770,0.0255484070289972,1.263669534608174
6347,0.0255484070289972,1.263669534608174
23411,0.0255484070289972,1.263669534608174
5573,0.0255484070289972,1.263669534608174
6647,0.0255484070289972,1.263669534608174
79068,0.0255484070289972,1.263669534608174
26291,0.0255484070289972,1.263669534608174
9370,0.0255484070289972,1.263669534608174
7351,0.0255484070289972,1.263669534608174
7133,0.0255484070289972,1.263669534608174
4968,0.0255484070289972,1.263669534608174
5465,0.0255484070289972,1.263669534608174
3953,0.0255484070289972,1.263669534608174
196,0.0255484070289972,1.263669534608174
948,0.0255484070289972,1.263669534608174
1401,0.0255484070289972,1.263669534608174
2641,0.0255484070289972,1.263669534608174
2784,0.0255484070289972,1.263669534608174
3290,0.0255484070289972,1.263669534608174
3383,0.0255484070289972,1.263669534608174
3569,0.0255484070289972,1.263669534608174
3667,0.0255484070289972,1.263669534608174
3952,0.0255484070289972,1.263669534608174
283455,0.0255484070289972,1.263669534608174
5054,0.0255484070289972,1.263669534608174
5443,0.0255484070289972,1.263669534608174
4318,0.0255484070289972,1.263669534608174
153,0.0255484070289972,1.263669534608174
5167,0.0255484070289972,1.263669534608174
7466,0.0239590689990724,4.286433398949319
949,0.0226164714987674,5.016266879838238
3552,0.0194443501949122,3.9684992729210817
5428,0.0194443501949122,3.9684992729210817
4363,0.0176185200772131,2.7651646619675967
481,0.0176185200772131,2.7651646619675967
8431,0.0165640258539816,1.1510627240956437
5346,0.0165640258539816,1.1510627240956437
4864,0.0165640258539816,1.1510627240956437
3949,0.0165640258539816,1.1510627240956437
5447,0.0100833977092955,1.611964820983351
1727,0.0072882888953632,1.4819568131724594
