edge,protein
"['ICD9 272', 'ICD9 786']",12
"['ICD9 272', 'ICD9 786']",19
"['ICD9 272', 'ICD9 786']",208
"['ICD9 272', 'ICD9 786']",335
"['ICD9 272', 'ICD9 786']",336
"['ICD9 272', 'ICD9 786']",337
"['ICD9 272', 'ICD9 786']",338
"['ICD9 272', 'ICD9 786']",344
"['ICD9 272', 'ICD9 786']",345
"['ICD9 272', 'ICD9 786']",348
"['ICD9 272', 'ICD9 786']",427
"['ICD9 272', 'ICD9 786']",440
"['ICD9 272', 'ICD9 786']",857
"['ICD9 272', 'ICD9 786']",950
"['ICD9 272', 'ICD9 786']",1071
"['ICD9 272', 'ICD9 786']",1118
"['ICD9 272', 'ICD9 786']",1174
"['ICD9 272', 'ICD9 786']",1593
"['ICD9 272', 'ICD9 786']",1636
"['ICD9 272', 'ICD9 786']",1893
"['ICD9 272', 'ICD9 786']",2053
"['ICD9 272', 'ICD9 786']",2168
"['ICD9 272', 'ICD9 786']",2629
"['ICD9 272', 'ICD9 786']",2690
"['ICD9 272', 'ICD9 786']",2717
"['ICD9 272', 'ICD9 786']",3032
"['ICD9 272', 'ICD9 786']",3156
"['ICD9 272', 'ICD9 786']",3249
"['ICD9 272', 'ICD9 786']",3949
"['ICD9 272', 'ICD9 786']",3988
"['ICD9 272', 'ICD9 786']",3990
"['ICD9 272', 'ICD9 786']",3991
"['ICD9 272', 'ICD9 786']",4000
"['ICD9 272', 'ICD9 786']",4018
"['ICD9 272', 'ICD9 786']",4023
"['ICD9 272', 'ICD9 786']",4047
"['ICD9 272', 'ICD9 786']",4547
"['ICD9 272', 'ICD9 786']",4668
"['ICD9 272', 'ICD9 786']",4758
"['ICD9 272', 'ICD9 786']",4864
"['ICD9 272', 'ICD9 786']",5346
"['ICD9 272', 'ICD9 786']",5424
"['ICD9 272', 'ICD9 786']",5444
"['ICD9 272', 'ICD9 786']",5445
"['ICD9 272', 'ICD9 786']",5468
"['ICD9 272', 'ICD9 786']",6319
"['ICD9 272', 'ICD9 786']",6515
"['ICD9 272', 'ICD9 786']",6609
"['ICD9 272', 'ICD9 786']",6622
"['ICD9 272', 'ICD9 786']",6648
"['ICD9 272', 'ICD9 786']",6876
"['ICD9 272', 'ICD9 786']",8431
"['ICD9 272', 'ICD9 786']",8540
"['ICD9 272', 'ICD9 786']",9415
"['ICD9 272', 'ICD9 786']",10020
"['ICD9 272', 'ICD9 786']",10038
"['ICD9 272', 'ICD9 786']",10269
"['ICD9 272', 'ICD9 786']",10555
"['ICD9 272', 'ICD9 786']",10577
"['ICD9 272', 'ICD9 786']",10842
"['ICD9 272', 'ICD9 786']",11067
"['ICD9 272', 'ICD9 786']",26119
"['ICD9 272', 'ICD9 786']",26471
"['ICD9 272', 'ICD9 786']",26503
"['ICD9 272', 'ICD9 786']",26580
"['ICD9 272', 'ICD9 786']",55062
"['ICD9 272', 'ICD9 786']",57192
"['ICD9 272', 'ICD9 786']",63924
"['ICD9 272', 'ICD9 786']",64838
"['ICD9 272', 'ICD9 786']",79153
"['ICD9 272', 'ICD9 786']",79158
"['ICD9 272', 'ICD9 786']",80025
"['ICD9 272', 'ICD9 786']",83729
"['ICD9 272', 'ICD9 786']",84572
"['ICD9 272', 'ICD9 786']",116519
"['ICD9 272', 'ICD9 786']",255738
