edge,protein
"['ICD9 403', 'ICD9 519']",26
"['ICD9 403', 'ICD9 519']",111
"['ICD9 403', 'ICD9 519']",118
"['ICD9 403', 'ICD9 519']",150
"['ICD9 403', 'ICD9 519']",153
"['ICD9 403', 'ICD9 519']",156
"['ICD9 403', 'ICD9 519']",183
"['ICD9 403', 'ICD9 519']",185
"['ICD9 403', 'ICD9 519']",186
"['ICD9 403', 'ICD9 519']",196
"['ICD9 403', 'ICD9 519']",210
"['ICD9 403', 'ICD9 519']",213
"['ICD9 403', 'ICD9 519']",246
"['ICD9 403', 'ICD9 519']",301
"['ICD9 403', 'ICD9 519']",335
"['ICD9 403', 'ICD9 519']",348
"['ICD9 403', 'ICD9 519']",358
"['ICD9 403', 'ICD9 519']",367
"['ICD9 403', 'ICD9 519']",475
"['ICD9 403', 'ICD9 519']",476
"['ICD9 403', 'ICD9 519']",477
"['ICD9 403', 'ICD9 519']",486
"['ICD9 403', 'ICD9 519']",490
"['ICD9 403', 'ICD9 519']",492
"['ICD9 403', 'ICD9 519']",551
"['ICD9 403', 'ICD9 519']",596
"['ICD9 403', 'ICD9 519']",624
"['ICD9 403', 'ICD9 519']",775
"['ICD9 403', 'ICD9 519']",781
"['ICD9 403', 'ICD9 519']",796
"['ICD9 403', 'ICD9 519']",847
"['ICD9 403', 'ICD9 519']",857
"['ICD9 403', 'ICD9 519']",875
"['ICD9 403', 'ICD9 519']",948
"['ICD9 403', 'ICD9 519']",1071
"['ICD9 403', 'ICD9 519']",1187
"['ICD9 403', 'ICD9 519']",1215
"['ICD9 403', 'ICD9 519']",1277
"['ICD9 403', 'ICD9 519']",1281
"['ICD9 403', 'ICD9 519']",1285
"['ICD9 403', 'ICD9 519']",1286
"['ICD9 403', 'ICD9 519']",1395
"['ICD9 403', 'ICD9 519']",1401
"['ICD9 403', 'ICD9 519']",1490
"['ICD9 403', 'ICD9 519']",1535
"['ICD9 403', 'ICD9 519']",1536
"['ICD9 403', 'ICD9 519']",1543
"['ICD9 403', 'ICD9 519']",1636
"['ICD9 403', 'ICD9 519']",1813
"['ICD9 403', 'ICD9 519']",1847
"['ICD9 403', 'ICD9 519']",1889
"['ICD9 403', 'ICD9 519']",1906
"['ICD9 403', 'ICD9 519']",1908
"['ICD9 403', 'ICD9 519']",1909
"['ICD9 403', 'ICD9 519']",2006
"['ICD9 403', 'ICD9 519']",2056
"['ICD9 403', 'ICD9 519']",2160
"['ICD9 403', 'ICD9 519']",2161
"['ICD9 403', 'ICD9 519']",2335
"['ICD9 403', 'ICD9 519']",2353
"['ICD9 403', 'ICD9 519']",2475
"['ICD9 403', 'ICD9 519']",2641
"['ICD9 403', 'ICD9 519']",2643
"['ICD9 403', 'ICD9 519']",2697
"['ICD9 403', 'ICD9 519']",2701
"['ICD9 403', 'ICD9 519']",2702
"['ICD9 403', 'ICD9 519']",2729
"['ICD9 403', 'ICD9 519']",2740
"['ICD9 403', 'ICD9 519']",2778
"['ICD9 403', 'ICD9 519']",2784
"['ICD9 403', 'ICD9 519']",2796
"['ICD9 403', 'ICD9 519']",2811
"['ICD9 403', 'ICD9 519']",2876
"['ICD9 403', 'ICD9 519']",2908
"['ICD9 403', 'ICD9 519']",2920
"['ICD9 403', 'ICD9 519']",2932
"['ICD9 403', 'ICD9 519']",2950
"['ICD9 403', 'ICD9 519']",2952
"['ICD9 403', 'ICD9 519']",2953
"['ICD9 403', 'ICD9 519']",2982
"['ICD9 403', 'ICD9 519']",3091
"['ICD9 403', 'ICD9 519']",3162
"['ICD9 403', 'ICD9 519']",3240
"['ICD9 403', 'ICD9 519']",3290
"['ICD9 403', 'ICD9 519']",3291
"['ICD9 403', 'ICD9 519']",3357
"['ICD9 403', 'ICD9 519']",3383
"['ICD9 403', 'ICD9 519']",3479
"['ICD9 403', 'ICD9 519']",3551
"['ICD9 403', 'ICD9 519']",3553
"['ICD9 403', 'ICD9 519']",3569
"['ICD9 403', 'ICD9 519']",3579
"['ICD9 403', 'ICD9 519']",3630
"['ICD9 403', 'ICD9 519']",3636
"['ICD9 403', 'ICD9 519']",3725
"['ICD9 403', 'ICD9 519']",3758
"['ICD9 403', 'ICD9 519']",3779
"['ICD9 403', 'ICD9 519']",3816
"['ICD9 403', 'ICD9 519']",3827
"['ICD9 403', 'ICD9 519']",3952
"['ICD9 403', 'ICD9 519']",3953
"['ICD9 403', 'ICD9 519']",3972
"['ICD9 403', 'ICD9 519']",4023
"['ICD9 403', 'ICD9 519']",4057
"['ICD9 403', 'ICD9 519']",4158
"['ICD9 403', 'ICD9 519']",4190
"['ICD9 403', 'ICD9 519']",4313
"['ICD9 403', 'ICD9 519']",4318
