edge,protein
"['ICD9 493', 'ICD9 519']",108
"['ICD9 493', 'ICD9 519']",117
"['ICD9 493', 'ICD9 519']",142
"['ICD9 493', 'ICD9 519']",154
"['ICD9 493', 'ICD9 519']",217
"['ICD9 493', 'ICD9 519']",240
"['ICD9 493', 'ICD9 519']",374
"['ICD9 493', 'ICD9 519']",383
"['ICD9 493', 'ICD9 519']",384
"['ICD9 493', 'ICD9 519']",596
"['ICD9 493', 'ICD9 519']",632
"['ICD9 493', 'ICD9 519']",847
"['ICD9 493', 'ICD9 519']",929
"['ICD9 493', 'ICD9 519']",1728
"['ICD9 493', 'ICD9 519']",1767
"['ICD9 493', 'ICD9 519']",1786
"['ICD9 493', 'ICD9 519']",1906
"['ICD9 493', 'ICD9 519']",2778
"['ICD9 493', 'ICD9 519']",2944
"['ICD9 493', 'ICD9 519']",2950
"['ICD9 493', 'ICD9 519']",3115
"['ICD9 493', 'ICD9 519']",3117
"['ICD9 493', 'ICD9 519']",3119
"['ICD9 493', 'ICD9 519']",3123
"['ICD9 493', 'ICD9 519']",3135
"['ICD9 493', 'ICD9 519']",3162
"['ICD9 493', 'ICD9 519']",3176
"['ICD9 493', 'ICD9 519']",3291
"['ICD9 493', 'ICD9 519']",3371
"['ICD9 493', 'ICD9 519']",3383
"['ICD9 493', 'ICD9 519']",3553
"['ICD9 493', 'ICD9 519']",3557
"['ICD9 493', 'ICD9 519']",3565
"['ICD9 493', 'ICD9 519']",3567
"['ICD9 493', 'ICD9 519']",3569
"['ICD9 493', 'ICD9 519']",3570
"['ICD9 493', 'ICD9 519']",3596
"['ICD9 493', 'ICD9 519']",3880
"['ICD9 493', 'ICD9 519']",4312
"['ICD9 493', 'ICD9 519']",4318
"['ICD9 493', 'ICD9 519']",4319
"['ICD9 493', 'ICD9 519']",4589
"['ICD9 493', 'ICD9 519']",4602
"['ICD9 493', 'ICD9 519']",4843
"['ICD9 493', 'ICD9 519']",4852
"['ICD9 493', 'ICD9 519']",5142
"['ICD9 493', 'ICD9 519']",5144
"['ICD9 493', 'ICD9 519']",5173
"['ICD9 493', 'ICD9 519']",5328
"['ICD9 493', 'ICD9 519']",5515
"['ICD9 493', 'ICD9 519']",5728
"['ICD9 493', 'ICD9 519']",5729
"['ICD9 493', 'ICD9 519']",6037
"['ICD9 493', 'ICD9 519']",6347
"['ICD9 493', 'ICD9 519']",6352
"['ICD9 493', 'ICD9 519']",6356
"['ICD9 493', 'ICD9 519']",6647
"['ICD9 493', 'ICD9 519']",7040
"['ICD9 493', 'ICD9 519']",7078
"['ICD9 493', 'ICD9 519']",7124
"['ICD9 493', 'ICD9 519']",7356
"['ICD9 493', 'ICD9 519']",7422
"['ICD9 493', 'ICD9 519']",7941
"['ICD9 493', 'ICD9 519']",8989
"['ICD9 493', 'ICD9 519']",9173
"['ICD9 493', 'ICD9 519']",9547
"['ICD9 493', 'ICD9 519']",10111
"['ICD9 493', 'ICD9 519']",10318
"['ICD9 493', 'ICD9 519']",11127
"['ICD9 493', 'ICD9 519']",11251
"['ICD9 493', 'ICD9 519']",22806
"['ICD9 493', 'ICD9 519']",29119
"['ICD9 493', 'ICD9 519']",30009
"['ICD9 493', 'ICD9 519']",55876
"['ICD9 493', 'ICD9 519']",85480
"['ICD9 493', 'ICD9 519']",90865
"['ICD9 493', 'ICD9 519']",94103
"['ICD9 493', 'ICD9 519']",117156
"['ICD9 493', 'ICD9 519']",134430
"['ICD9 493', 'ICD9 519']",149628
"['ICD9 493', 'ICD9 519']",222256
"['ICD9 493', 'ICD9 519']",282617
"['ICD9 493', 'ICD9 519']",387129
