edge,protein
"['ICD9 401', 'ICD9 272']",26
"['ICD9 401', 'ICD9 272']",111
"['ICD9 401', 'ICD9 272']",118
"['ICD9 401', 'ICD9 272']",150
"['ICD9 401', 'ICD9 272']",153
"['ICD9 401', 'ICD9 272']",156
"['ICD9 401', 'ICD9 272']",183
"['ICD9 401', 'ICD9 272']",185
"['ICD9 401', 'ICD9 272']",186
"['ICD9 401', 'ICD9 272']",196
"['ICD9 401', 'ICD9 272']",208
"['ICD9 401', 'ICD9 272']",210
"['ICD9 401', 'ICD9 272']",213
"['ICD9 401', 'ICD9 272']",246
"['ICD9 401', 'ICD9 272']",301
"['ICD9 401', 'ICD9 272']",308
"['ICD9 401', 'ICD9 272']",335
"['ICD9 401', 'ICD9 272']",348
"['ICD9 401', 'ICD9 272']",355
"['ICD9 401', 'ICD9 272']",358
"['ICD9 401', 'ICD9 272']",367
"['ICD9 401', 'ICD9 272']",467
"['ICD9 401', 'ICD9 272']",475
"['ICD9 401', 'ICD9 272']",476
"['ICD9 401', 'ICD9 272']",477
"['ICD9 401', 'ICD9 272']",481
"['ICD9 401', 'ICD9 272']",486
"['ICD9 401', 'ICD9 272']",488
"['ICD9 401', 'ICD9 272']",489
"['ICD9 401', 'ICD9 272']",490
"['ICD9 401', 'ICD9 272']",492
"['ICD9 401', 'ICD9 272']",551
"['ICD9 401', 'ICD9 272']",596
"['ICD9 401', 'ICD9 272']",598
"['ICD9 401', 'ICD9 272']",624
"['ICD9 401', 'ICD9 272']",635
"['ICD9 401', 'ICD9 272']",673
"['ICD9 401', 'ICD9 272']",718
"['ICD9 401', 'ICD9 272']",775
"['ICD9 401', 'ICD9 272']",781
"['ICD9 401', 'ICD9 272']",796
"['ICD9 401', 'ICD9 272']",836
"['ICD9 401', 'ICD9 272']",841
"['ICD9 401', 'ICD9 272']",847
"['ICD9 401', 'ICD9 272']",857
"['ICD9 401', 'ICD9 272']",875
"['ICD9 401', 'ICD9 272']",894
"['ICD9 401', 'ICD9 272']",948
"['ICD9 401', 'ICD9 272']",1036
"['ICD9 401', 'ICD9 272']",1071
"['ICD9 401', 'ICD9 272']",1187
"['ICD9 401', 'ICD9 272']",1215
"['ICD9 401', 'ICD9 272']",1277
"['ICD9 401', 'ICD9 272']",1281
"['ICD9 401', 'ICD9 272']",1356
"['ICD9 401', 'ICD9 272']",1374
"['ICD9 401', 'ICD9 272']",1395
"['ICD9 401', 'ICD9 272']",1401
"['ICD9 401', 'ICD9 272']",1490
"['ICD9 401', 'ICD9 272']",1535
"['ICD9 401', 'ICD9 272']",1536
"['ICD9 401', 'ICD9 272']",1543
"['ICD9 401', 'ICD9 272']",1544
"['ICD9 401', 'ICD9 272']",1577
"['ICD9 401', 'ICD9 272']",1636
"['ICD9 401', 'ICD9 272']",1813
"['ICD9 401', 'ICD9 272']",1847
"['ICD9 401', 'ICD9 272']",1889
"['ICD9 401', 'ICD9 272']",1906
"['ICD9 401', 'ICD9 272']",1908
"['ICD9 401', 'ICD9 272']",1909
"['ICD9 401', 'ICD9 272']",1910
"['ICD9 401', 'ICD9 272']",1956
"['ICD9 401', 'ICD9 272']",2006
"['ICD9 401', 'ICD9 272']",2052
