edge,protein
"['ICD9 585', 'ICD9 079']",19
"['ICD9 585', 'ICD9 079']",38
"['ICD9 585', 'ICD9 079']",213
"['ICD9 585', 'ICD9 079']",353
"['ICD9 585', 'ICD9 079']",847
"['ICD9 585', 'ICD9 079']",873
"['ICD9 585', 'ICD9 079']",949
"['ICD9 585', 'ICD9 079']",968
"['ICD9 585', 'ICD9 079']",1374
"['ICD9 585', 'ICD9 079']",1401
"['ICD9 585', 'ICD9 079']",1535
"['ICD9 585', 'ICD9 079']",1536
"['ICD9 585', 'ICD9 079']",1555
"['ICD9 585', 'ICD9 079']",1557
"['ICD9 585', 'ICD9 079']",1636
"['ICD9 585', 'ICD9 079']",1839
"['ICD9 585', 'ICD9 079']",2056
"['ICD9 585', 'ICD9 079']",2168
"['ICD9 585', 'ICD9 079']",2194
"['ICD9 585', 'ICD9 079']",2981
"['ICD9 585', 'ICD9 079']",3156
"['ICD9 585', 'ICD9 079']",3162
"['ICD9 585', 'ICD9 079']",3479
"['ICD9 585', 'ICD9 079']",3569
"['ICD9 585', 'ICD9 079']",3934
"['ICD9 585', 'ICD9 079']",4481
"['ICD9 585', 'ICD9 079']",4502
"['ICD9 585', 'ICD9 079']",4627
"['ICD9 585', 'ICD9 079']",4790
"['ICD9 585', 'ICD9 079']",4803
"['ICD9 585', 'ICD9 079']",5054
"['ICD9 585', 'ICD9 079']",5076
"['ICD9 585', 'ICD9 079']",5465
"['ICD9 585', 'ICD9 079']",5742
"['ICD9 585', 'ICD9 079']",5743
"['ICD9 585', 'ICD9 079']",5970
"['ICD9 585', 'ICD9 079']",6347
"['ICD9 585', 'ICD9 079']",6720
"['ICD9 585', 'ICD9 079']",6721
"['ICD9 585', 'ICD9 079']",7040
"['ICD9 585', 'ICD9 079']",7124
"['ICD9 585', 'ICD9 079']",8639
"['ICD9 585', 'ICD9 079']",9370
"['ICD9 585', 'ICD9 079']",9619
"['ICD9 585', 'ICD9 079']",22909
"['ICD9 585', 'ICD9 079']",23552
"['ICD9 585', 'ICD9 079']",29927
"['ICD9 585', 'ICD9 079']",29949
"['ICD9 585', 'ICD9 079']",50507
"['ICD9 585', 'ICD9 079']",51085
"['ICD9 585', 'ICD9 079']",51094
"['ICD9 585', 'ICD9 079']",51726
"['ICD9 585', 'ICD9 079']",56729
"['ICD9 585', 'ICD9 079']",57817
"['ICD9 585', 'ICD9 079']",653361
