edge,protein
"['ICD9 458', 'ICD9 519']",134
"['ICD9 458', 'ICD9 519']",135
"['ICD9 458', 'ICD9 519']",147
"['ICD9 458', 'ICD9 519']",150
"['ICD9 458', 'ICD9 519']",183
"['ICD9 458', 'ICD9 519']",213
"['ICD9 458', 'ICD9 519']",551
"['ICD9 458', 'ICD9 519']",624
"['ICD9 458', 'ICD9 519']",847
"['ICD9 458', 'ICD9 519']",1268
"['ICD9 458', 'ICD9 519']",1392
"['ICD9 458', 'ICD9 519']",1489
"['ICD9 458', 'ICD9 519']",1636
"['ICD9 458', 'ICD9 519']",1812
"['ICD9 458', 'ICD9 519']",1813
"['ICD9 458', 'ICD9 519']",1906
"['ICD9 458', 'ICD9 519']",1908
"['ICD9 458', 'ICD9 519']",2246
"['ICD9 458', 'ICD9 519']",2641
"['ICD9 458', 'ICD9 519']",2890
"['ICD9 458', 'ICD9 519']",2904
"['ICD9 458', 'ICD9 519']",3269
"['ICD9 458', 'ICD9 519']",3351
"['ICD9 458', 'ICD9 519']",3352
"['ICD9 458', 'ICD9 519']",3458
"['ICD9 458', 'ICD9 519']",3552
"['ICD9 458', 'ICD9 519']",3553
"['ICD9 458', 'ICD9 519']",3558
"['ICD9 458', 'ICD9 519']",3569
"['ICD9 458', 'ICD9 519']",3630
"['ICD9 458', 'ICD9 519']",3827
"['ICD9 458', 'ICD9 519']",4057
"['ICD9 458', 'ICD9 519']",4128
"['ICD9 458', 'ICD9 519']",4129
"['ICD9 458', 'ICD9 519']",4878
"['ICD9 458', 'ICD9 519']",4879
"['ICD9 458', 'ICD9 519']",4985
"['ICD9 458', 'ICD9 519']",4988
"['ICD9 458', 'ICD9 519']",5020
"['ICD9 458', 'ICD9 519']",5173
"['ICD9 458', 'ICD9 519']",5243
"['ICD9 458', 'ICD9 519']",5327
"['ICD9 458', 'ICD9 519']",5328
"['ICD9 458', 'ICD9 519']",5368
"['ICD9 458', 'ICD9 519']",5443
"['ICD9 458', 'ICD9 519']",5617
"['ICD9 458', 'ICD9 519']",5972
"['ICD9 458', 'ICD9 519']",6340
"['ICD9 458', 'ICD9 519']",6550
"['ICD9 458', 'ICD9 519']",6647
"['ICD9 458', 'ICD9 519']",6863
"['ICD9 458', 'ICD9 519']",7124
"['ICD9 458', 'ICD9 519']",7349
"['ICD9 458', 'ICD9 519']",7432
"['ICD9 458', 'ICD9 519']",11188
