edge,protein
"['ICD9 496', 'ICD9 519']",688
"['ICD9 496', 'ICD9 519']",925
"['ICD9 496', 'ICD9 519']",1543
"['ICD9 496', 'ICD9 519']",1544
"['ICD9 496', 'ICD9 519']",1832
"['ICD9 496', 'ICD9 519']",2006
"['ICD9 496', 'ICD9 519']",2052
"['ICD9 496', 'ICD9 519']",2309
"['ICD9 496', 'ICD9 519']",2778
"['ICD9 496', 'ICD9 519']",2919
"['ICD9 496', 'ICD9 519']",2920
"['ICD9 496', 'ICD9 519']",3066
"['ICD9 496', 'ICD9 519']",3162
"['ICD9 496', 'ICD9 519']",3356
"['ICD9 496', 'ICD9 519']",3569
"['ICD9 496', 'ICD9 519']",3576
"['ICD9 496', 'ICD9 519']",4312
"['ICD9 496', 'ICD9 519']",4318
"['ICD9 496', 'ICD9 519']",4323
"['ICD9 496', 'ICD9 519']",4843
"['ICD9 496', 'ICD9 519']",4846
"['ICD9 496', 'ICD9 519']",5173
"['ICD9 496', 'ICD9 519']",5265
"['ICD9 496', 'ICD9 519']",6441
"['ICD9 496', 'ICD9 519']",6649
"['ICD9 496', 'ICD9 519']",7040
"['ICD9 496', 'ICD9 519']",7124
"['ICD9 496', 'ICD9 519']",7139
"['ICD9 496', 'ICD9 519']",7157
"['ICD9 496', 'ICD9 519']",7356
"['ICD9 496', 'ICD9 519']",10144
"['ICD9 496', 'ICD9 519']",10411
"['ICD9 496', 'ICD9 519']",23255
"['ICD9 496', 'ICD9 519']",59341
"['ICD9 496', 'ICD9 519']",60678
