edge,protein
"['ICD9 780', 'ICD9 272']",18
"['ICD9 780', 'ICD9 272']",38
"['ICD9 780', 'ICD9 272']",43
"['ICD9 780', 'ICD9 272']",116
"['ICD9 780', 'ICD9 272']",135
"['ICD9 780', 'ICD9 272']",147
"['ICD9 780', 'ICD9 272']",183
"['ICD9 780', 'ICD9 272']",210
"['ICD9 780', 'ICD9 272']",249
"['ICD9 780', 'ICD9 272']",328
"['ICD9 780', 'ICD9 272']",348
"['ICD9 780', 'ICD9 272']",351
"['ICD9 780', 'ICD9 272']",477
"['ICD9 780', 'ICD9 272']",538
"['ICD9 780', 'ICD9 272']",551
"['ICD9 780', 'ICD9 272']",590
"['ICD9 780', 'ICD9 272']",596
"['ICD9 780', 'ICD9 272']",627
"['ICD9 780', 'ICD9 272']",775
"['ICD9 780', 'ICD9 272']",779
"['ICD9 780', 'ICD9 272']",847
"['ICD9 780', 'ICD9 272']",885
"['ICD9 780', 'ICD9 272']",1103
"['ICD9 780', 'ICD9 272']",1105
"['ICD9 780', 'ICD9 272']",1128
"['ICD9 780', 'ICD9 272']",1136
"['ICD9 780', 'ICD9 272']",1137
"['ICD9 780', 'ICD9 272']",1138
"['ICD9 780', 'ICD9 272']",1139
"['ICD9 780', 'ICD9 272']",1143
"['ICD9 780', 'ICD9 272']",1191
"['ICD9 780', 'ICD9 272']",1244
"['ICD9 780', 'ICD9 272']",1268
"['ICD9 780', 'ICD9 272']",1312
"['ICD9 780', 'ICD9 272']",1373
"['ICD9 780', 'ICD9 272']",1392
"['ICD9 780', 'ICD9 272']",1440
"['ICD9 780', 'ICD9 272']",1565
"['ICD9 780', 'ICD9 272']",1583
"['ICD9 780', 'ICD9 272']",1629
"['ICD9 780', 'ICD9 272']",1812
"['ICD9 780', 'ICD9 272']",1813
"['ICD9 780', 'ICD9 272']",1814
"['ICD9 780', 'ICD9 272']",2166
"['ICD9 780', 'ICD9 272']",2247
"['ICD9 780', 'ICD9 272']",2290
"['ICD9 780', 'ICD9 272']",2353
"['ICD9 780', 'ICD9 272']",2488
"['ICD9 780', 'ICD9 272']",2558
"['ICD9 780', 'ICD9 272']",2562
"['ICD9 780', 'ICD9 272']",2566
"['ICD9 780', 'ICD9 272']",2572
"['ICD9 780', 'ICD9 272']",2593
"['ICD9 780', 'ICD9 272']",2641
"['ICD9 780', 'ICD9 272']",2784
"['ICD9 780', 'ICD9 272']",2892
"['ICD9 780', 'ICD9 272']",2897
"['ICD9 780', 'ICD9 272']",2925
"['ICD9 780', 'ICD9 272']",3115
"['ICD9 780', 'ICD9 272']",3146
"['ICD9 780', 'ICD9 272']",3350
"['ICD9 780', 'ICD9 272']",3351
"['ICD9 780', 'ICD9 272']",3356
"['ICD9 780', 'ICD9 272']",3362
"['ICD9 780', 'ICD9 272']",3363
"['ICD9 780', 'ICD9 272']",3418
"['ICD9 780', 'ICD9 272']",3440
"['ICD9 780', 'ICD9 272']",3456
"['ICD9 780', 'ICD9 272']",3458
"['ICD9 780', 'ICD9 272']",3481
"['ICD9 780', 'ICD9 272']",3552
"['ICD9 780', 'ICD9 272']",3553
"['ICD9 780', 'ICD9 272']",3557
"['ICD9 780', 'ICD9 272']",3558
"['ICD9 780', 'ICD9 272']",3569
"['ICD9 780', 'ICD9 272']",3576
"['ICD9 780', 'ICD9 272']",3612
"['ICD9 780', 'ICD9 272']",3613
"['ICD9 780', 'ICD9 272']",3630
"['ICD9 780', 'ICD9 272']",3737
"['ICD9 780', 'ICD9 272']",3767
"['ICD9 780', 'ICD9 272']",3785
"['ICD9 780', 'ICD9 272']",3952
"['ICD9 780', 'ICD9 272']",3954
"['ICD9 780', 'ICD9 272']",4010
"['ICD9 780', 'ICD9 272']",4012
"['ICD9 780', 'ICD9 272']",4137
"['ICD9 780', 'ICD9 272']",4192
"['ICD9 780', 'ICD9 272']",4204
"['ICD9 780', 'ICD9 272']",4211
"['ICD9 780', 'ICD9 272']",4282
"['ICD9 780', 'ICD9 272']",4504
"['ICD9 780', 'ICD9 272']",4598
"['ICD9 780', 'ICD9 272']",4803
"['ICD9 780', 'ICD9 272']",4804
"['ICD9 780', 'ICD9 272']",4835
"['ICD9 780', 'ICD9 272']",4842
"['ICD9 780', 'ICD9 272']",4843
"['ICD9 780', 'ICD9 272']",4852
"['ICD9 780', 'ICD9 272']",4986
"['ICD9 780', 'ICD9 272']",4988
"['ICD9 780', 'ICD9 272']",5020
"['ICD9 780', 'ICD9 272']",5063
"['ICD9 780', 'ICD9 272']",5066
"['ICD9 780', 'ICD9 272']",5071
"['ICD9 780', 'ICD9 272']",5173
"['ICD9 780', 'ICD9 272']",5283
"['ICD9 780', 'ICD9 272']",5368
"['ICD9 780', 'ICD9 272']",5422
"['ICD9 780', 'ICD9 272']",5428
"['ICD9 780', 'ICD9 272']",5443
"['ICD9 780', 'ICD9 272']",5580
"['ICD9 780', 'ICD9 272']",5617
"['ICD9 780', 'ICD9 272']",5621
"['ICD9 780', 'ICD9 272']",5663
"['ICD9 780', 'ICD9 272']",5743
"['ICD9 780', 'ICD9 272']",5816
"['ICD9 780', 'ICD9 272']",5966
"['ICD9 780', 'ICD9 272']",5978
"['ICD9 780', 'ICD9 272']",6134
"['ICD9 780', 'ICD9 272']",6261
"['ICD9 780', 'ICD9 272']",6323
"['ICD9 780', 'ICD9 272']",6324
"['ICD9 780', 'ICD9 272']",6326
"['ICD9 780', 'ICD9 272']",6505
"['ICD9 780', 'ICD9 272']",6513
"['ICD9 780', 'ICD9 272']",6529
"['ICD9 780', 'ICD9 272']",6530
"['ICD9 780', 'ICD9 272']",6531
"['ICD9 780', 'ICD9 272']",6532
"['ICD9 780', 'ICD9 272']",6546
"['ICD9 780', 'ICD9 272']",6547
"['ICD9 780', 'ICD9 272']",6648
"['ICD9 780', 'ICD9 272']",6750
"['ICD9 780', 'ICD9 272']",6752
"['ICD9 780', 'ICD9 272']",6774
"['ICD9 780', 'ICD9 272']",6792
"['ICD9 780', 'ICD9 272']",6854
"['ICD9 780', 'ICD9 272']",6855
"['ICD9 780', 'ICD9 272']",6904
"['ICD9 780', 'ICD9 272']",6925
"['ICD9 780', 'ICD9 272']",7124
"['ICD9 780', 'ICD9 272']",7132
"['ICD9 780', 'ICD9 272']",7200
"['ICD9 780', 'ICD9 272']",7248
"['ICD9 780', 'ICD9 272']",7249
"['ICD9 780', 'ICD9 272']",7252
"['ICD9 780', 'ICD9 272']",7422
"['ICD9 780', 'ICD9 272']",7779
"['ICD9 780', 'ICD9 272']",8242
"['ICD9 780', 'ICD9 272']",8573
"['ICD9 780', 'ICD9 272']",8777
"['ICD9 780', 'ICD9 272']",8828
"['ICD9 780', 'ICD9 272']",8864
"['ICD9 780', 'ICD9 272']",9365
"['ICD9 780', 'ICD9 272']",9456
"['ICD9 780', 'ICD9 272']",9495
"['ICD9 780', 'ICD9 272']",9536
"['ICD9 780', 'ICD9 272']",9863
"['ICD9 780', 'ICD9 272']",10280
"['ICD9 780', 'ICD9 272']",11255
"['ICD9 780', 'ICD9 272']",11284
"['ICD9 780', 'ICD9 272']",28964
"['ICD9 780', 'ICD9 272']",50632
"['ICD9 780', 'ICD9 272']",51738
"['ICD9 780', 'ICD9 272']",54681
"['ICD9 780', 'ICD9 272']",54715
"['ICD9 780', 'ICD9 272']",54805
"['ICD9 780', 'ICD9 272']",54886
"['ICD9 780', 'ICD9 272']",56848
"['ICD9 780', 'ICD9 272']",57030
"['ICD9 780', 'ICD9 272']",57084
"['ICD9 780', 'ICD9 272']",57468
"['ICD9 780', 'ICD9 272']",57534
"['ICD9 780', 'ICD9 272']",63982
"['ICD9 780', 'ICD9 272']",84059
"['ICD9 780', 'ICD9 272']",93183
"['ICD9 780', 'ICD9 272']",112755
"['ICD9 780', 'ICD9 272']",121278
"['ICD9 780', 'ICD9 272']",170302
"['ICD9 780', 'ICD9 272']",254065
"['ICD9 780', 'ICD9 272']",348980
"['ICD9 780', 'ICD9 272']",374569
