edge,protein
"['ICD9 401', 'ICD9 719']",26
"['ICD9 401', 'ICD9 719']",111
"['ICD9 401', 'ICD9 719']",118
"['ICD9 401', 'ICD9 719']",150
"['ICD9 401', 'ICD9 719']",153
"['ICD9 401', 'ICD9 719']",156
"['ICD9 401', 'ICD9 719']",183
"['ICD9 401', 'ICD9 719']",185
"['ICD9 401', 'ICD9 719']",186
"['ICD9 401', 'ICD9 719']",196
"['ICD9 401', 'ICD9 719']",208
"['ICD9 401', 'ICD9 719']",210
"['ICD9 401', 'ICD9 719']",213
"['ICD9 401', 'ICD9 719']",246
"['ICD9 401', 'ICD9 719']",301
"['ICD9 401', 'ICD9 719']",308
"['ICD9 401', 'ICD9 719']",335
"['ICD9 401', 'ICD9 719']",348
"['ICD9 401', 'ICD9 719']",355
"['ICD9 401', 'ICD9 719']",358
"['ICD9 401', 'ICD9 719']",367
"['ICD9 401', 'ICD9 719']",467
"['ICD9 401', 'ICD9 719']",475
"['ICD9 401', 'ICD9 719']",476
"['ICD9 401', 'ICD9 719']",477
"['ICD9 401', 'ICD9 719']",481
"['ICD9 401', 'ICD9 719']",486
"['ICD9 401', 'ICD9 719']",488
"['ICD9 401', 'ICD9 719']",489
"['ICD9 401', 'ICD9 719']",490
"['ICD9 401', 'ICD9 719']",492
"['ICD9 401', 'ICD9 719']",551
"['ICD9 401', 'ICD9 719']",596
"['ICD9 401', 'ICD9 719']",598
"['ICD9 401', 'ICD9 719']",624
"['ICD9 401', 'ICD9 719']",635
"['ICD9 401', 'ICD9 719']",673
"['ICD9 401', 'ICD9 719']",718
"['ICD9 401', 'ICD9 719']",775
"['ICD9 401', 'ICD9 719']",781
"['ICD9 401', 'ICD9 719']",796
"['ICD9 401', 'ICD9 719']",836
"['ICD9 401', 'ICD9 719']",841
"['ICD9 401', 'ICD9 719']",847
"['ICD9 401', 'ICD9 719']",857
"['ICD9 401', 'ICD9 719']",875
"['ICD9 401', 'ICD9 719']",894
"['ICD9 401', 'ICD9 719']",948
"['ICD9 401', 'ICD9 719']",1036
"['ICD9 401', 'ICD9 719']",1071
"['ICD9 401', 'ICD9 719']",1187
"['ICD9 401', 'ICD9 719']",1215
"['ICD9 401', 'ICD9 719']",1277
"['ICD9 401', 'ICD9 719']",1281
"['ICD9 401', 'ICD9 719']",1356
"['ICD9 401', 'ICD9 719']",1374
"['ICD9 401', 'ICD9 719']",1395
"['ICD9 401', 'ICD9 719']",1401
"['ICD9 401', 'ICD9 719']",1490
"['ICD9 401', 'ICD9 719']",1535
"['ICD9 401', 'ICD9 719']",1536
"['ICD9 401', 'ICD9 719']",1543
"['ICD9 401', 'ICD9 719']",1544
"['ICD9 401', 'ICD9 719']",1577
"['ICD9 401', 'ICD9 719']",1636
"['ICD9 401', 'ICD9 719']",1813
"['ICD9 401', 'ICD9 719']",1847
"['ICD9 401', 'ICD9 719']",1889
"['ICD9 401', 'ICD9 719']",1906
"['ICD9 401', 'ICD9 719']",1908
"['ICD9 401', 'ICD9 719']",1909
"['ICD9 401', 'ICD9 719']",1910
"['ICD9 401', 'ICD9 719']",1956
"['ICD9 401', 'ICD9 719']",2006
"['ICD9 401', 'ICD9 719']",2052
"['ICD9 401', 'ICD9 719']",2056
"['ICD9 401', 'ICD9 719']",2113
"['ICD9 401', 'ICD9 719']",2160
"['ICD9 401', 'ICD9 719']",2161
"['ICD9 401', 'ICD9 719']",2321
"['ICD9 401', 'ICD9 719']",2335
"['ICD9 401', 'ICD9 719']",2353
"['ICD9 401', 'ICD9 719']",2475
"['ICD9 401', 'ICD9 719']",2641
"['ICD9 401', 'ICD9 719']",2642
"['ICD9 401', 'ICD9 719']",2643
"['ICD9 401', 'ICD9 719']",2645
"['ICD9 401', 'ICD9 719']",2646
"['ICD9 401', 'ICD9 719']",2697
"['ICD9 401', 'ICD9 719']",2701
"['ICD9 401', 'ICD9 719']",2702
"['ICD9 401', 'ICD9 719']",2729
"['ICD9 401', 'ICD9 719']",2740
"['ICD9 401', 'ICD9 719']",2778
"['ICD9 401', 'ICD9 719']",2784
"['ICD9 401', 'ICD9 719']",2796
"['ICD9 401', 'ICD9 719']",2811
"['ICD9 401', 'ICD9 719']",2813
"['ICD9 401', 'ICD9 719']",2820
"['ICD9 401', 'ICD9 719']",2876
"['ICD9 401', 'ICD9 719']",2888
"['ICD9 401', 'ICD9 719']",2908
"['ICD9 401', 'ICD9 719']",2920
"['ICD9 401', 'ICD9 719']",2932
"['ICD9 401', 'ICD9 719']",2944
"['ICD9 401', 'ICD9 719']",2950
"['ICD9 401', 'ICD9 719']",2952
"['ICD9 401', 'ICD9 719']",2953
"['ICD9 401', 'ICD9 719']",2982
"['ICD9 401', 'ICD9 719']",3039
"['ICD9 401', 'ICD9 719']",3075
"['ICD9 401', 'ICD9 719']",3087
"['ICD9 401', 'ICD9 719']",3091
"['ICD9 401', 'ICD9 719']",3098
"['ICD9 401', 'ICD9 719']",3127
"['ICD9 401', 'ICD9 719']",3159
"['ICD9 401', 'ICD9 719']",3162
"['ICD9 401', 'ICD9 719']",3172
"['ICD9 401', 'ICD9 719']",3240
"['ICD9 401', 'ICD9 719']",3263
"['ICD9 401', 'ICD9 719']",3290
"['ICD9 401', 'ICD9 719']",3291
"['ICD9 401', 'ICD9 719']",3357
"['ICD9 401', 'ICD9 719']",3375
"['ICD9 401', 'ICD9 719']",3383
"['ICD9 401', 'ICD9 719']",3397
"['ICD9 401', 'ICD9 719']",3426
"['ICD9 401', 'ICD9 719']",3479
"['ICD9 401', 'ICD9 719']",3551
"['ICD9 401', 'ICD9 719']",3553
"['ICD9 401', 'ICD9 719']",3569
"['ICD9 401', 'ICD9 719']",3579
"['ICD9 401', 'ICD9 719']",3597
"['ICD9 401', 'ICD9 719']",3624
"['ICD9 401', 'ICD9 719']",3630
"['ICD9 401', 'ICD9 719']",3636
