edge,protein
"['ICD9 351', 'ICD9 786']",19
"['ICD9 351', 'ICD9 786']",239
"['ICD9 351', 'ICD9 786']",467
"['ICD9 351', 'ICD9 786']",774
"['ICD9 351', 'ICD9 786']",842
"['ICD9 351', 'ICD9 786']",1029
"['ICD9 351', 'ICD9 786']",1130
"['ICD9 351', 'ICD9 786']",1440
"['ICD9 351', 'ICD9 786']",1493
"['ICD9 351', 'ICD9 786']",1558
"['ICD9 351', 'ICD9 786']",1612
"['ICD9 351', 'ICD9 786']",1780
"['ICD9 351', 'ICD9 786']",1806
"['ICD9 351', 'ICD9 786']",2067
"['ICD9 351', 'ICD9 786']",2071
"['ICD9 351', 'ICD9 786']",2072
"['ICD9 351', 'ICD9 786']",2670
"['ICD9 351', 'ICD9 786']",2707
"['ICD9 351', 'ICD9 786']",2735
"['ICD9 351', 'ICD9 786']",2950
"['ICD9 351', 'ICD9 786']",3383
"['ICD9 351', 'ICD9 786']",3479
"['ICD9 351', 'ICD9 786']",3480
"['ICD9 351', 'ICD9 786']",3569
"['ICD9 351', 'ICD9 786']",3725
"['ICD9 351', 'ICD9 786']",4153
"['ICD9 351', 'ICD9 786']",4288
"['ICD9 351', 'ICD9 786']",4314
"['ICD9 351', 'ICD9 786']",4363
"['ICD9 351', 'ICD9 786']",4644
"['ICD9 351', 'ICD9 786']",4744
"['ICD9 351', 'ICD9 786']",4803
"['ICD9 351', 'ICD9 786']",4852
"['ICD9 351', 'ICD9 786']",5055
"['ICD9 351', 'ICD9 786']",5243
"['ICD9 351', 'ICD9 786']",5376
"['ICD9 351', 'ICD9 786']",5467
"['ICD9 351', 'ICD9 786']",5581
"['ICD9 351', 'ICD9 786']",5689
"['ICD9 351', 'ICD9 786']",6648
"['ICD9 351', 'ICD9 786']",6790
"['ICD9 351', 'ICD9 786']",6925
"['ICD9 351', 'ICD9 786']",7345
"['ICD9 351', 'ICD9 786']",7504
"['ICD9 351', 'ICD9 786']",8139
"['ICD9 351', 'ICD9 786']",8481
"['ICD9 351', 'ICD9 786']",8797
"['ICD9 351', 'ICD9 786']",8912
"['ICD9 351', 'ICD9 786']",9499
"['ICD9 351', 'ICD9 786']",9990
"['ICD9 351', 'ICD9 786']",10908
"['ICD9 351', 'ICD9 786']",23221
"['ICD9 351', 'ICD9 786']",26005
"['ICD9 351', 'ICD9 786']",30812
