edge,protein
"['ICD9 311', 'ICD9 276']",52
"['ICD9 311', 'ICD9 276']",111
"['ICD9 311', 'ICD9 276']",113
"['ICD9 311', 'ICD9 276']",135
"['ICD9 311', 'ICD9 276']",148
"['ICD9 311', 'ICD9 276']",213
"['ICD9 311', 'ICD9 276']",290
"['ICD9 311', 'ICD9 276']",317
"['ICD9 311', 'ICD9 276']",353
"['ICD9 311', 'ICD9 276']",406
"['ICD9 311', 'ICD9 276']",408
"['ICD9 311', 'ICD9 276']",410
"['ICD9 311', 'ICD9 276']",540
"['ICD9 311', 'ICD9 276']",551
"['ICD9 311', 'ICD9 276']",595
"['ICD9 311', 'ICD9 276']",607
"['ICD9 311', 'ICD9 276']",613
"['ICD9 311', 'ICD9 276']",624
"['ICD9 311', 'ICD9 276']",627
"['ICD9 311', 'ICD9 276']",655
"['ICD9 311', 'ICD9 276']",775
"['ICD9 311', 'ICD9 276']",815
"['ICD9 311', 'ICD9 276']",847
"['ICD9 311', 'ICD9 276']",886
"['ICD9 311', 'ICD9 276']",947
"['ICD9 311', 'ICD9 276']",1005
"['ICD9 311', 'ICD9 276']",1029
"['ICD9 311', 'ICD9 276']",1267
"['ICD9 311', 'ICD9 276']",1268
"['ICD9 311', 'ICD9 276']",1269
"['ICD9 311', 'ICD9 276']",1312
"['ICD9 311', 'ICD9 276']",1385
"['ICD9 311', 'ICD9 276']",1392
"['ICD9 311', 'ICD9 276']",1393
"['ICD9 311', 'ICD9 276']",1394
"['ICD9 311', 'ICD9 276']",1401
"['ICD9 311', 'ICD9 276']",1407
"['ICD9 311', 'ICD9 276']",1408
"['ICD9 311', 'ICD9 276']",1439
"['ICD9 311', 'ICD9 276']",1440
"['ICD9 311', 'ICD9 276']",1493
"['ICD9 311', 'ICD9 276']",1501
"['ICD9 311', 'ICD9 276']",1523
"['ICD9 311', 'ICD9 276']",1557
"['ICD9 311', 'ICD9 276']",1559
"['ICD9 311', 'ICD9 276']",1565
"['ICD9 311', 'ICD9 276']",1621
"['ICD9 311', 'ICD9 276']",1636
"['ICD9 311', 'ICD9 276']",1644
"['ICD9 311', 'ICD9 276']",1740
"['ICD9 311', 'ICD9 276']",1741
"['ICD9 311', 'ICD9 276']",1742
"['ICD9 311', 'ICD9 276']",1813
"['ICD9 311', 'ICD9 276']",1814
"['ICD9 311', 'ICD9 276']",1815
"['ICD9 311', 'ICD9 276']",1816
"['ICD9 311', 'ICD9 276']",1906
"['ICD9 311', 'ICD9 276']",1950
"['ICD9 311', 'ICD9 276']",1956
"['ICD9 311', 'ICD9 276']",1975
"['ICD9 311', 'ICD9 276']",2012
"['ICD9 311', 'ICD9 276']",2028
"['ICD9 311', 'ICD9 276']",2065
"['ICD9 311', 'ICD9 276']",2100
"['ICD9 311', 'ICD9 276']",2182
"['ICD9 311', 'ICD9 276']",2247
"['ICD9 311', 'ICD9 276']",2260
"['ICD9 311', 'ICD9 276']",2288
"['ICD9 311', 'ICD9 276']",2289
"['ICD9 311', 'ICD9 276']",2332
"['ICD9 311', 'ICD9 276']",2475
"['ICD9 311', 'ICD9 276']",2495
"['ICD9 311', 'ICD9 276']",2512
"['ICD9 311', 'ICD9 276']",2537
"['ICD9 311', 'ICD9 276']",2571
"['ICD9 311', 'ICD9 276']",2572
"['ICD9 311', 'ICD9 276']",2587
"['ICD9 311', 'ICD9 276']",2668
"['ICD9 311', 'ICD9 276']",2670
"['ICD9 311', 'ICD9 276']",2697
"['ICD9 311', 'ICD9 276']",2739
"['ICD9 311', 'ICD9 276']",2782
"['ICD9 311', 'ICD9 276']",2784
"['ICD9 311', 'ICD9 276']",2891
"['ICD9 311', 'ICD9 276']",2900
"['ICD9 311', 'ICD9 276']",2908
"['ICD9 311', 'ICD9 276']",2911
"['ICD9 311', 'ICD9 276']",2915
"['ICD9 311', 'ICD9 276']",2917
"['ICD9 311', 'ICD9 276']",2931
"['ICD9 311', 'ICD9 276']",2932
"['ICD9 311', 'ICD9 276']",3091
"['ICD9 311', 'ICD9 276']",3131
"['ICD9 311', 'ICD9 276']",3164
"['ICD9 311', 'ICD9 276']",3240
"['ICD9 311', 'ICD9 276']",3303
"['ICD9 311', 'ICD9 276']",3304
"['ICD9 311', 'ICD9 276']",3305
"['ICD9 311', 'ICD9 276']",3320
"['ICD9 311', 'ICD9 276']",3350
"['ICD9 311', 'ICD9 276']",3351
"['ICD9 311', 'ICD9 276']",3356
"['ICD9 311', 'ICD9 276']",3358
"['ICD9 311', 'ICD9 276']",3359
"['ICD9 311', 'ICD9 276']",3363
"['ICD9 311', 'ICD9 276']",3439
"['ICD9 311', 'ICD9 276']",3440
"['ICD9 311', 'ICD9 276']",3458
"['ICD9 311', 'ICD9 276']",3553
"['ICD9 311', 'ICD9 276']",3558
"['ICD9 311', 'ICD9 276']",3559
"['ICD9 311', 'ICD9 276']",3569
"['ICD9 311', 'ICD9 276']",3589
"['ICD9 311', 'ICD9 276']",3627
"['ICD9 311', 'ICD9 276']",3630
"['ICD9 311', 'ICD9 276']",3665
"['ICD9 311', 'ICD9 276']",3697
"['ICD9 311', 'ICD9 276']",3776
"['ICD9 311', 'ICD9 276']",3791
"['ICD9 311', 'ICD9 276']",3839
"['ICD9 311', 'ICD9 276']",3939
"['ICD9 311', 'ICD9 276']",3952
"['ICD9 311', 'ICD9 276']",4035
"['ICD9 311', 'ICD9 276']",4045
"['ICD9 311', 'ICD9 276']",4074
"['ICD9 311', 'ICD9 276']",4128
"['ICD9 311', 'ICD9 276']",4129
"['ICD9 311', 'ICD9 276']",4133
"['ICD9 311', 'ICD9 276']",4194
"['ICD9 311', 'ICD9 276']",4282
"['ICD9 311', 'ICD9 276']",4306
"['ICD9 311', 'ICD9 276']",4317
"['ICD9 311', 'ICD9 276']",4353
"['ICD9 311', 'ICD9 276']",4524
"['ICD9 311', 'ICD9 276']",4684
"['ICD9 311', 'ICD9 276']",4723
"['ICD9 311', 'ICD9 276']",4729
"['ICD9 311', 'ICD9 276']",4745
"['ICD9 311', 'ICD9 276']",4747
"['ICD9 311', 'ICD9 276']",4842
"['ICD9 311', 'ICD9 276']",4852
