edge,protein
"['ICD9 434', 'ICD9 079']",28
"['ICD9 434', 'ICD9 079']",125
"['ICD9 434', 'ICD9 079']",213
"['ICD9 434', 'ICD9 079']",241
"['ICD9 434', 'ICD9 079']",287
"['ICD9 434', 'ICD9 079']",335
"['ICD9 434', 'ICD9 079']",351
"['ICD9 434', 'ICD9 079']",462
"['ICD9 434', 'ICD9 079']",463
"['ICD9 434', 'ICD9 079']",1021
"['ICD9 434', 'ICD9 079']",1281
"['ICD9 434', 'ICD9 079']",1282
"['ICD9 434', 'ICD9 079']",1471
"['ICD9 434', 'ICD9 079']",1482
"['ICD9 434', 'ICD9 079']",1636
"['ICD9 434', 'ICD9 079']",1906
"['ICD9 434', 'ICD9 079']",1909
"['ICD9 434', 'ICD9 079']",2147
"['ICD9 434', 'ICD9 079']",2153
"['ICD9 434', 'ICD9 079']",2243
"['ICD9 434', 'ICD9 079']",2295
"['ICD9 434', 'ICD9 079']",2296
"['ICD9 434', 'ICD9 079']",2717
"['ICD9 434', 'ICD9 079']",2833
"['ICD9 434', 'ICD9 079']",3039
"['ICD9 434', 'ICD9 079']",3360
"['ICD9 434', 'ICD9 079']",3383
"['ICD9 434', 'ICD9 079']",3553
"['ICD9 434', 'ICD9 079']",3557
"['ICD9 434', 'ICD9 079']",3569
"['ICD9 434', 'ICD9 079']",3659
"['ICD9 434', 'ICD9 079']",3674
"['ICD9 434', 'ICD9 079']",3685
"['ICD9 434', 'ICD9 079']",3690
"['ICD9 434', 'ICD9 079']",3777
"['ICD9 434', 'ICD9 079']",4018
"['ICD9 434', 'ICD9 079']",4321
"['ICD9 434', 'ICD9 079']",4524
"['ICD9 434', 'ICD9 079']",4843
"['ICD9 434', 'ICD9 079']",4846
"['ICD9 434', 'ICD9 079']",4852
"['ICD9 434', 'ICD9 079']",4854
"['ICD9 434', 'ICD9 079']",5139
"['ICD9 434', 'ICD9 079']",5308
"['ICD9 434', 'ICD9 079']",5327
"['ICD9 434', 'ICD9 079']",5328
"['ICD9 434', 'ICD9 079']",5563
"['ICD9 434', 'ICD9 079']",5583
"['ICD9 434', 'ICD9 079']",5743
"['ICD9 434', 'ICD9 079']",6000
"['ICD9 434', 'ICD9 079']",6647
"['ICD9 434', 'ICD9 079']",6926
"['ICD9 434', 'ICD9 079']",7040
"['ICD9 434', 'ICD9 079']",7124
"['ICD9 434', 'ICD9 079']",7351
"['ICD9 434', 'ICD9 079']",7421
"['ICD9 434', 'ICD9 079']",7450
"['ICD9 434', 'ICD9 079']",7482
"['ICD9 434', 'ICD9 079']",7941
"['ICD9 434', 'ICD9 079']",9445
"['ICD9 434', 'ICD9 079']",9644
"['ICD9 434', 'ICD9 079']",9734
"['ICD9 434', 'ICD9 079']",10019
"['ICD9 434', 'ICD9 079']",10100
"['ICD9 434', 'ICD9 079']",10594
"['ICD9 434', 'ICD9 079']",23143
"['ICD9 434', 'ICD9 079']",23174
"['ICD9 434', 'ICD9 079']",54498
"['ICD9 434', 'ICD9 079']",54897
"['ICD9 434', 'ICD9 079']",79001
