edge,protein
"['ICD9 285', 'ICD9 311']",22
"['ICD9 285', 'ICD9 311']",43
"['ICD9 285', 'ICD9 311']",142
"['ICD9 285', 'ICD9 311']",183
"['ICD9 285', 'ICD9 311']",210
"['ICD9 285', 'ICD9 311']",212
"['ICD9 285', 'ICD9 311']",355
"['ICD9 285', 'ICD9 311']",538
"['ICD9 285', 'ICD9 311']",1021
"['ICD9 285', 'ICD9 311']",1437
"['ICD9 285', 'ICD9 311']",1440
"['ICD9 285', 'ICD9 311']",2056
"['ICD9 285', 'ICD9 311']",2623
"['ICD9 285', 'ICD9 311']",2936
"['ICD9 285', 'ICD9 311']",3239
"['ICD9 285', 'ICD9 311']",3240
"['ICD9 285', 'ICD9 311']",3313
"['ICD9 285', 'ICD9 311']",3440
"['ICD9 285', 'ICD9 311']",3481
"['ICD9 285', 'ICD9 311']",3558
"['ICD9 285', 'ICD9 311']",3562
"['ICD9 285', 'ICD9 311']",3845
"['ICD9 285', 'ICD9 311']",4524
"['ICD9 285', 'ICD9 311']",4548
"['ICD9 285', 'ICD9 311']",4891
"['ICD9 285', 'ICD9 311']",4928
"['ICD9 285', 'ICD9 311']",5313
"['ICD9 285', 'ICD9 311']",5617
"['ICD9 285', 'ICD9 311']",5741
"['ICD9 285', 'ICD9 311']",5972
"['ICD9 285', 'ICD9 311']",6005
"['ICD9 285', 'ICD9 311']",6006
"['ICD9 285', 'ICD9 311']",6007
"['ICD9 285', 'ICD9 311']",6223
"['ICD9 285', 'ICD9 311']",6320
"['ICD9 285', 'ICD9 311']",6521
"['ICD9 285', 'ICD9 311']",6648
"['ICD9 285', 'ICD9 311']",7124
"['ICD9 285', 'ICD9 311']",7298
"['ICD9 285', 'ICD9 311']",7504
"['ICD9 285', 'ICD9 311']",8797
"['ICD9 285', 'ICD9 311']",9474
"['ICD9 285', 'ICD9 311']",9518
"['ICD9 285', 'ICD9 311']",10483
"['ICD9 285', 'ICD9 311']",10533
"['ICD9 285', 'ICD9 311']",10661
"['ICD9 285', 'ICD9 311']",30061
"['ICD9 285', 'ICD9 311']",51095
"['ICD9 285', 'ICD9 311']",51218
"['ICD9 285', 'ICD9 311']",51251
"['ICD9 285', 'ICD9 311']",51312
"['ICD9 285', 'ICD9 311']",54433
"['ICD9 285', 'ICD9 311']",54539
"['ICD9 285', 'ICD9 311']",54977
"['ICD9 285', 'ICD9 311']",57817
"['ICD9 285', 'ICD9 311']",84529
"['ICD9 285', 'ICD9 311']",113235
"['ICD9 285', 'ICD9 311']",146059
"['ICD9 285', 'ICD9 311']",374569
