edge,protein
"['ICD9 272', 'ICD9 079']",12
"['ICD9 272', 'ICD9 079']",19
"['ICD9 272', 'ICD9 079']",208
"['ICD9 272', 'ICD9 079']",335
"['ICD9 272', 'ICD9 079']",336
"['ICD9 272', 'ICD9 079']",337
"['ICD9 272', 'ICD9 079']",338
"['ICD9 272', 'ICD9 079']",344
"['ICD9 272', 'ICD9 079']",345
"['ICD9 272', 'ICD9 079']",348
"['ICD9 272', 'ICD9 079']",427
"['ICD9 272', 'ICD9 079']",440
"['ICD9 272', 'ICD9 079']",857
"['ICD9 272', 'ICD9 079']",950
"['ICD9 272', 'ICD9 079']",1071
"['ICD9 272', 'ICD9 079']",1118
"['ICD9 272', 'ICD9 079']",1174
"['ICD9 272', 'ICD9 079']",1593
"['ICD9 272', 'ICD9 079']",1636
"['ICD9 272', 'ICD9 079']",1893
"['ICD9 272', 'ICD9 079']",2053
"['ICD9 272', 'ICD9 079']",2168
"['ICD9 272', 'ICD9 079']",2629
"['ICD9 272', 'ICD9 079']",2690
"['ICD9 272', 'ICD9 079']",2717
"['ICD9 272', 'ICD9 079']",3032
"['ICD9 272', 'ICD9 079']",3156
"['ICD9 272', 'ICD9 079']",3249
"['ICD9 272', 'ICD9 079']",3949
"['ICD9 272', 'ICD9 079']",3988
"['ICD9 272', 'ICD9 079']",3990
"['ICD9 272', 'ICD9 079']",3991
"['ICD9 272', 'ICD9 079']",4000
"['ICD9 272', 'ICD9 079']",4018
"['ICD9 272', 'ICD9 079']",4023
"['ICD9 272', 'ICD9 079']",4047
"['ICD9 272', 'ICD9 079']",4547
"['ICD9 272', 'ICD9 079']",4668
"['ICD9 272', 'ICD9 079']",4758
"['ICD9 272', 'ICD9 079']",4864
"['ICD9 272', 'ICD9 079']",5346
"['ICD9 272', 'ICD9 079']",5424
"['ICD9 272', 'ICD9 079']",5444
"['ICD9 272', 'ICD9 079']",5445
"['ICD9 272', 'ICD9 079']",5468
"['ICD9 272', 'ICD9 079']",6319
"['ICD9 272', 'ICD9 079']",6515
"['ICD9 272', 'ICD9 079']",6609
"['ICD9 272', 'ICD9 079']",6622
"['ICD9 272', 'ICD9 079']",6648
"['ICD9 272', 'ICD9 079']",6876
"['ICD9 272', 'ICD9 079']",8431
"['ICD9 272', 'ICD9 079']",8540
"['ICD9 272', 'ICD9 079']",9415
"['ICD9 272', 'ICD9 079']",10020
"['ICD9 272', 'ICD9 079']",10038
"['ICD9 272', 'ICD9 079']",10269
"['ICD9 272', 'ICD9 079']",10555
"['ICD9 272', 'ICD9 079']",10577
"['ICD9 272', 'ICD9 079']",10842
"['ICD9 272', 'ICD9 079']",11067
"['ICD9 272', 'ICD9 079']",26119
"['ICD9 272', 'ICD9 079']",26471
"['ICD9 272', 'ICD9 079']",26503
"['ICD9 272', 'ICD9 079']",26580
"['ICD9 272', 'ICD9 079']",55062
"['ICD9 272', 'ICD9 079']",57192
"['ICD9 272', 'ICD9 079']",63924
"['ICD9 272', 'ICD9 079']",64838
"['ICD9 272', 'ICD9 079']",79153
"['ICD9 272', 'ICD9 079']",79158
"['ICD9 272', 'ICD9 079']",80025
"['ICD9 272', 'ICD9 079']",83729
"['ICD9 272', 'ICD9 079']",84572
"['ICD9 272', 'ICD9 079']",116519
"['ICD9 272', 'ICD9 079']",255738
