ICDID,geneID
153,"[9, 10, 19, 21, 24, 31, 43, 105, 114, 125, 134, 140, 142, 207, 217, 225, 267, 270, 287, 290, 324, 330, 332, 338, 355, 360, 368, 387, 405, 472, 513, 529, 540, 580, 595, 596, 650, 652, 654, 657, 668, 673, 675, 678, 688, 699, 701, 782, 783, 790, 811, 827, 841, 862, 863, 894, 898, 928, 960, 999, 1003, 1005, 1026, 1027, 1029, 1036, 1080, 1105, 1244, 1272, 1281, 1288, 1294, 1363, 1387, 1404, 1434, 1437, 1440, 1463, 1487, 1495, 1499, 1501, 1512, 1523, 1544, 1545, 1548, 1580, 1592, 1620, 1630, 1649, 1669, 1719, 1728, 1741, 1756, 1769, 1776, 1798, 1800, 1806, 1808, 1890, 1896, 1902, 1956, 1981, 2026, 2030, 2033, 2041, 2042, 2045, 2051, 2052, 2065, 2068, 2070, 2072, 2074, 2099, 2100, 2110, 2115, 2153, 2175, 2176, 2182, 2186, 2189, 2195, 2199, 2201, 2202, 2219, 2220, 2237, 2261, 2275, 2318, 2328, 2335, 2346, 2356, 2475, 2553, 2559, 2588, 2597, 2626, 2692, 2735, 2737, 2778, 2832, 2876, 2879, 2894, 2895, 2899, 2903, 2911, 2944, 2947, 2950, 2954, 2956, 2959, 2972, 2977, 2984, 3008, 3009, 3067, 3101, 3149, 3205, 3225, 3231, 3235, 3265, 3269, 3361, 3417, 3439, 3440, 3456, 3479, 3481, 3486, 3488, 3558, 3572, 3576, 3604, 3652, 3670, 3671, 3700, 3744, 3752, 3791, 3845, 3868, 3908, 3914, 3915, 3977, 3978, 3980, 3992, 4008, 4016, 4035, 4036, 4087, 4088, 4089, 4092, 4093, 4094, 4108, 4131, 4133, 4163, 4179, 4194, 4288, 4292, 4297, 4306, 4312, 4313, 4318, 4320, 4353, 4363, 4430, 4436, 4437, 4489, 4502, 4504, 4512, 4513, 4519, 4524, 4539, 4552, 4595, 4609, 4694, 4745, 4763, 4772, 4811, 4830, 4831, 4838, 4851, 4853, 4891, 4893, 4897, 4913, 4929, 4953, 5007, 5016, 5017, 5027, 5126, 5157, 5178, 5187, 5236, 5243, 5244, 5268, 5290, 5314, 5316, 5373, 5395, 5423, 5424, 5426, 5447, 5468, 5498, 5519, 5533, 5553, 5579, 5581, 5587, 5590, 5627, 5631, 5644, 5646, 5683, 5690, 5705, 5728, 5743, 5789, 5795, 5799, 5802, 5819, 5825, 5826, 5858, 5878, 5900, 5915, 5924, 5925, 5949, 5954, 5979, 6009, 6059, 6128, 6198, 6224, 6241, 6338, 6340, 6414, 6422, 6423, 6424, 6425, 6431, 6447, 6499, 6512, 6525, 6573, 6578, 6579, 6597, 6629, 6648, 6653, 6657, 6678, 6712, 6714, 6790, 6792, 6794, 6820, 6833, 6899, 6929, 6934, 6948, 6949, 7015, 7037, 7040, 7046, 7048, 7052, 7074, 7077, 7083, 7087, 7097, 7099, 7124, 7157, 7248, 7276, 7280, 7296, 7298, 7364, 7372, 7374, 7385, 7403, 7442, 7479, 7486, 7515, 7518, 7594, 7681, 7711, 7764, 7775, 7799, 7802, 7849, 7874, 7903, 7980, 8000, 8027, 8029, 8079, 8085, 8125, 8241, 8243, 8289, 8313, 8314, 8320, 8322, 8328, 8342, 8388, 8471, 8520, 8549, 8556, 8626, 8642, 8647, 8667, 8714, 8728, 8741, 8743, 8821, 8836, 8842, 8861, 8888, 8928, 8991, 8997, 9138, 9148, 9156, 9197, 9201, 9202, 9312, 9348, 9365, 9415, 9429, 9437, 9444, 9462, 9472, 9474, 9499, 9582, 9590, 9611, 9619, 9647, 9649, 9668, 9700, 9744, 9746, 9754, 9759, 9770, 9832, 9839, 9924, 9934, 10057, 10058, 10076, 10084, 10135, 10142, 10155, 10178, 10202, 10241, 10257, 10278, 10286, 10291, 10297, 10342, 10349, 10350, 10351, 10365, 10391, 10395, 10413, 10445, 10457, 10460, 10467, 10497, 10565, 10566, 10631, 10666, 10681, 10714, 10723, 10735, 10752, 10840, 10979, 11034, 11086, 11122, 11132, 11171, 11186, 11197, 11200, 11257, 22797, 22843, 22854, 22866, 22909, 22918, 22974, 22982, 22985, 22992, 23020, 23036, 23101, 23154, 23175, 23199, 23230, 23271, 23287, 23314, 23345, 23415, 23456, 23460, 23461, 23468, 23533, 23600, 23643, 23682, 23742, 24139, 25827, 25902, 26009, 26015, 26038, 26040, 26098, 26140, 26154, 26256, 26259, 26278, 26585, 26986, 27013, 27030, 27036, 27111, 27127, 27151, 27164, 27328, 28234, 29108, 29886, 29945, 29951, 29980, 30833, 50807, 50944, 50945, 51005, 51086, 51147, 51150, 51176, 51201, 51203, 51224, 51247, 51322, 51339, 51384, 51466, 51479, 51550, 51555, 51614, 51703, 53836, 54084, 54093, 54106, 54436, 54465, 54474, 54520, 54680, 54739, 54790, 54822, 54894, 54959, 55023, 55160, 55229, 55237, 55252, 55281, 55294, 55356, 55567, 55616, 55625, 55669, 55726, 55749, 55800, 55806, 56479, 56884, 56924, 56947, 57007, 57016, 57124, 57140, 57142, 57175, 57178, 57188, 57338, 57412, 57453, 57468, 57470, 57502, 57547, 57573, 57614, 57617, 58495, 58508, 59269, 59345, 59352, 60385, 60412, 63904, 63951, 64084, 64101, 64151, 64218, 64232, 64321, 64332, 64359, 64377, 64396, 64399, 64405, 64411, 64748, 64919, 64946, 65012, 65125, 66037, 78996, 78997, 79149, 79366, 79608, 79668, 79695, 79718, 79728, 79750, 79812, 79973, 80034, 80054, 80148, 80243, 80310, 80317, 80341, 80342, 80345, 80714, 80736, 81037, 81887, 83667, 84033, 84085, 84134, 84171, 84181, 84187, 84343, 84445, 84660, 84720, 84823, 84896, 84951, 84966, 85415, 85417, 90362, 91653, 91752, 91768, 91807, 92126, 92140, 92736, 93099, 93145, 94081, 94274, 112479, 114571, 114788, 115209, 115426, 116135, 116328, 116844, 119391, 122011, 122258, 124872, 124936, 126205, 126695, 130749, 132884, 135228, 137209, 140628, 140767, 143162, 143187, 143384, 143425, 144717, 145270, 146177, 147657, 147741, 148266, 150000, 150962, 151254, 151790, 152330, 152789, 154664, 154865, 157697, 163255, 164832, 167127, 170572, 170689, 170692, 196740, 200162, 201163, 201283, 201305, 204474, 219287, 219770, 221687, 222894, 223075, 225689, 254173, 255022, 256536, 282974, 284217, 284382, 286410, 319101, 340273, 340706, 341568, 342510, 374887, 386681, 387496, 388115, 389289, 389799, 400073, 401138, 406892, 406900, 406920, 406937, 407017, 407026, 407041, 407050, 407055, 693120, 693124, 728116, 100289255, 100302203, 100422821, 100422979, 100499467]"
154,[]
157,"[208, 240, 242, 324, 672, 673, 675, 1029, 2033, 3845, 4089, 5932, 6416, 6648, 6794, 7157, 8821, 54894, 84260]"
158,[]
160,[]
161,[]
162,"[191, 196, 207, 208, 213, 226, 238, 240, 242, 301, 308, 324, 328, 332, 335, 356, 361, 369, 374, 383, 467, 472, 545, 558, 673, 675, 688, 768, 814, 822, 841, 847, 894, 902, 928, 931, 972, 1012, 1029, 1030, 1113, 1294, 1387, 1432, 1440, 1454, 1474, 1499, 1540, 1553, 1571, 1612, 1645, 1728, 1845, 1869, 1870, 1871, 1875, 1876, 1956, 1967, 2023, 2026, 2033, 2042, 2044, 2046, 2064, 2067, 2074, 2081, 2091, 2182, 2194, 2254, 2260, 2261, 2263, 2264, 2272, 2305, 2309, 2321, 2475, 2547, 2597, 2618, 2696, 2729, 2791, 2810, 2898, 2909, 2946, 2950, 2956, 2986, 3028, 3070, 3091, 3098, 3099, 3148, 3178, 3265, 3280, 3315, 3570, 3576, 3586, 3615, 3645, 3646, 3654, 3656, 3659, 3688, 3691, 3726, 3761, 3791, 3799, 3815, 3838, 3843, 3845, 3918, 3921, 3939, 3956, 4000, 4001, 4193, 4233, 4292, 4312, 4318, 4320, 4342, 4437, 4504, 4609, 4691, 4736, 4750, 4751, 4780, 4826, 4854, 4869, 4893, 4915, 4916, 4921, 4968, 5002, 5021, 5052, 5071, 5092, 5223, 5243, 5290, 5478, 5530, 5591, 5604, 5605, 5610, 5728, 5744, 5829, 5832, 5885, 5894, 5921, 5925, 5979, 5984, 6009, 6016, 6098, 6157, 6173, 6182, 6236, 6240, 6241, 6304, 6385, 6440, 6470, 6472, 6565, 6573, 6597, 6599, 6637, 6648, 6654, 6657, 6723, 6774, 6794, 6795, 6855, 7015, 7018, 7039, 7080, 7083, 7153, 7157, 7158, 7167, 7262, 7270, 7273, 7298, 7345, 7371, 7409, 7422, 7508, 7520, 8048, 8125, 8202, 8260, 8314, 8347, 8408, 8434, 8626, 8671, 8711, 8743, 8761, 8801, 8890, 8893, 9113, 9180, 9304, 9497, 9510, 9582, 9625, 9748, 9817, 10087, 10110, 10171, 10179, 10188, 10360, 10397, 10452, 10476, 10528, 10568, 10769, 10922, 10961, 11051, 11186, 22948, 23028, 23212, 23521, 23532, 23556, 23603, 25865, 25878, 26227, 26519, 26524, 26750, 27102, 27330, 27347, 27436, 28969, 29098, 29108, 29968, 51082, 51280, 51303, 51347, 51592, 51602, 51614, 54433, 54458, 55342, 55379, 55681, 55743, 55783, 55829, 56342, 57099, 57144, 58499, 59082, 60487, 63826, 64841, 64969, 65084, 65125, 79711, 79733, 79887, 81037, 83743, 84444, 84700, 85481, 90355, 94081, 138474, 140803, 144455, 159989, 253260, 283106, 283455, 387775, 389840, 406913, 406919, 406936, 406937, 406979, 406988, 407021, 407031, 442910, 442911, 574030, 574456, 645249, 693223, 100302142, 101928376]"
163,[]
170,"[207, 648, 860, 1280, 1576, 1719, 1956, 1965, 2101, 2131, 2132, 2146, 2348, 2914, 2950, 3725, 3756, 4015, 4233, 4313, 4486, 4609, 5925, 5981, 5996, 7001, 7157, 7262, 7422, 7486, 7490, 8148, 8792, 8856, 8878, 9183, 9401, 10210, 11200, 23411, 23476, 54880, 85417, 406900, 406920, 407050, 442894, 442901]"
171,"[324, 2308, 5002, 5077, 5081, 7161, 25937]"
