edge,protein
"['ICD9 379', 'ICD9 401']",26
"['ICD9 379', 'ICD9 401']",111
"['ICD9 379', 'ICD9 401']",118
"['ICD9 379', 'ICD9 401']",150
"['ICD9 379', 'ICD9 401']",153
"['ICD9 379', 'ICD9 401']",156
"['ICD9 379', 'ICD9 401']",183
"['ICD9 379', 'ICD9 401']",185
"['ICD9 379', 'ICD9 401']",186
"['ICD9 379', 'ICD9 401']",196
"['ICD9 379', 'ICD9 401']",208
"['ICD9 379', 'ICD9 401']",210
"['ICD9 379', 'ICD9 401']",213
"['ICD9 379', 'ICD9 401']",246
"['ICD9 379', 'ICD9 401']",301
"['ICD9 379', 'ICD9 401']",308
"['ICD9 379', 'ICD9 401']",335
"['ICD9 379', 'ICD9 401']",348
"['ICD9 379', 'ICD9 401']",355
"['ICD9 379', 'ICD9 401']",358
"['ICD9 379', 'ICD9 401']",367
"['ICD9 379', 'ICD9 401']",467
"['ICD9 379', 'ICD9 401']",475
"['ICD9 379', 'ICD9 401']",476
"['ICD9 379', 'ICD9 401']",477
"['ICD9 379', 'ICD9 401']",481
"['ICD9 379', 'ICD9 401']",486
"['ICD9 379', 'ICD9 401']",488
"['ICD9 379', 'ICD9 401']",489
"['ICD9 379', 'ICD9 401']",490
"['ICD9 379', 'ICD9 401']",492
"['ICD9 379', 'ICD9 401']",551
"['ICD9 379', 'ICD9 401']",596
"['ICD9 379', 'ICD9 401']",598
"['ICD9 379', 'ICD9 401']",624
"['ICD9 379', 'ICD9 401']",635
"['ICD9 379', 'ICD9 401']",673
"['ICD9 379', 'ICD9 401']",718
"['ICD9 379', 'ICD9 401']",775
"['ICD9 379', 'ICD9 401']",781
"['ICD9 379', 'ICD9 401']",796
"['ICD9 379', 'ICD9 401']",836
"['ICD9 379', 'ICD9 401']",841
"['ICD9 379', 'ICD9 401']",847
"['ICD9 379', 'ICD9 401']",857
"['ICD9 379', 'ICD9 401']",875
"['ICD9 379', 'ICD9 401']",894
"['ICD9 379', 'ICD9 401']",948
"['ICD9 379', 'ICD9 401']",1036
"['ICD9 379', 'ICD9 401']",1071
"['ICD9 379', 'ICD9 401']",1187
"['ICD9 379', 'ICD9 401']",1215
"['ICD9 379', 'ICD9 401']",1277
"['ICD9 379', 'ICD9 401']",1281
"['ICD9 379', 'ICD9 401']",1356
"['ICD9 379', 'ICD9 401']",1374
"['ICD9 379', 'ICD9 401']",1395
"['ICD9 379', 'ICD9 401']",1401
"['ICD9 379', 'ICD9 401']",1490
"['ICD9 379', 'ICD9 401']",1535
"['ICD9 379', 'ICD9 401']",1536
"['ICD9 379', 'ICD9 401']",1543
"['ICD9 379', 'ICD9 401']",1544
"['ICD9 379', 'ICD9 401']",1577
"['ICD9 379', 'ICD9 401']",1636
"['ICD9 379', 'ICD9 401']",1813
"['ICD9 379', 'ICD9 401']",1847
"['ICD9 379', 'ICD9 401']",1889
"['ICD9 379', 'ICD9 401']",1906
"['ICD9 379', 'ICD9 401']",1908
"['ICD9 379', 'ICD9 401']",1909
"['ICD9 379', 'ICD9 401']",1910
"['ICD9 379', 'ICD9 401']",1956
"['ICD9 379', 'ICD9 401']",2006
"['ICD9 379', 'ICD9 401']",2052
"['ICD9 379', 'ICD9 401']",2056
"['ICD9 379', 'ICD9 401']",2113
"['ICD9 379', 'ICD9 401']",2160
"['ICD9 379', 'ICD9 401']",2161
"['ICD9 379', 'ICD9 401']",2321
"['ICD9 379', 'ICD9 401']",2335
"['ICD9 379', 'ICD9 401']",2353
"['ICD9 379', 'ICD9 401']",2475
"['ICD9 379', 'ICD9 401']",2641
"['ICD9 379', 'ICD9 401']",2642
"['ICD9 379', 'ICD9 401']",2643
"['ICD9 379', 'ICD9 401']",2645
"['ICD9 379', 'ICD9 401']",2646
"['ICD9 379', 'ICD9 401']",2697
"['ICD9 379', 'ICD9 401']",2701
"['ICD9 379', 'ICD9 401']",2702
"['ICD9 379', 'ICD9 401']",2729
"['ICD9 379', 'ICD9 401']",2740
"['ICD9 379', 'ICD9 401']",2778
"['ICD9 379', 'ICD9 401']",2784
"['ICD9 379', 'ICD9 401']",2796
"['ICD9 379', 'ICD9 401']",2811
"['ICD9 379', 'ICD9 401']",2813
"['ICD9 379', 'ICD9 401']",2820
"['ICD9 379', 'ICD9 401']",2876
"['ICD9 379', 'ICD9 401']",2888
"['ICD9 379', 'ICD9 401']",2908
"['ICD9 379', 'ICD9 401']",2920
"['ICD9 379', 'ICD9 401']",2932
"['ICD9 379', 'ICD9 401']",2944
"['ICD9 379', 'ICD9 401']",2950
"['ICD9 379', 'ICD9 401']",2952
"['ICD9 379', 'ICD9 401']",2953
"['ICD9 379', 'ICD9 401']",2982
"['ICD9 379', 'ICD9 401']",3039
"['ICD9 379', 'ICD9 401']",3075
"['ICD9 379', 'ICD9 401']",3087
"['ICD9 379', 'ICD9 401']",3091
"['ICD9 379', 'ICD9 401']",3098
"['ICD9 379', 'ICD9 401']",3127
"['ICD9 379', 'ICD9 401']",3159
"['ICD9 379', 'ICD9 401']",3162
"['ICD9 379', 'ICD9 401']",3172
"['ICD9 379', 'ICD9 401']",3240
"['ICD9 379', 'ICD9 401']",3263
"['ICD9 379', 'ICD9 401']",3290
"['ICD9 379', 'ICD9 401']",3291
"['ICD9 379', 'ICD9 401']",3357
"['ICD9 379', 'ICD9 401']",3375
"['ICD9 379', 'ICD9 401']",3383
"['ICD9 379', 'ICD9 401']",3397
"['ICD9 379', 'ICD9 401']",3426
"['ICD9 379', 'ICD9 401']",3479
"['ICD9 379', 'ICD9 401']",3551
"['ICD9 379', 'ICD9 401']",3553
"['ICD9 379', 'ICD9 401']",3569
"['ICD9 379', 'ICD9 401']",3579
"['ICD9 379', 'ICD9 401']",3597
"['ICD9 379', 'ICD9 401']",3624
"['ICD9 379', 'ICD9 401']",3630
"['ICD9 379', 'ICD9 401']",3636
"['ICD9 379', 'ICD9 401']",3643
