edge,protein
"['ICD9 401', 'ICD9 198']",9
"['ICD9 401', 'ICD9 198']",196
"['ICD9 401', 'ICD9 198']",472
"['ICD9 401', 'ICD9 198']",672
"['ICD9 401', 'ICD9 198']",823
"['ICD9 401', 'ICD9 198']",847
"['ICD9 401', 'ICD9 198']",1029
"['ICD9 401', 'ICD9 198']",1386
"['ICD9 401', 'ICD9 198']",1436
"['ICD9 401', 'ICD9 198']",1728
"['ICD9 401', 'ICD9 198']",1869
"['ICD9 401', 'ICD9 198']",1969
"['ICD9 401', 'ICD9 198']",2067
"['ICD9 401', 'ICD9 198']",2194
"['ICD9 401', 'ICD9 198']",2740
"['ICD9 401', 'ICD9 198']",2878
"['ICD9 401', 'ICD9 198']",2923
"['ICD9 401', 'ICD9 198']",2952
"['ICD9 401', 'ICD9 198']",3297
"['ICD9 401', 'ICD9 198']",3397
"['ICD9 401', 'ICD9 198']",3553
"['ICD9 401', 'ICD9 198']",3558
"['ICD9 401', 'ICD9 198']",3606
"['ICD9 401', 'ICD9 198']",3757
"['ICD9 401', 'ICD9 198']",3845
"['ICD9 401', 'ICD9 198']",3934
"['ICD9 401', 'ICD9 198']",4057
"['ICD9 401', 'ICD9 198']",4609
"['ICD9 401', 'ICD9 198']",4846
"['ICD9 401', 'ICD9 198']",5243
"['ICD9 401', 'ICD9 198']",5329
"['ICD9 401', 'ICD9 198']",5465
"['ICD9 401', 'ICD9 198']",5743
"['ICD9 401', 'ICD9 198']",6502
"['ICD9 401', 'ICD9 198']",6528
"['ICD9 401', 'ICD9 198']",6648
"['ICD9 401', 'ICD9 198']",6722
"['ICD9 401', 'ICD9 198']",6750
"['ICD9 401', 'ICD9 198']",7015
"['ICD9 401', 'ICD9 198']",7150
"['ICD9 401', 'ICD9 198']",7403
"['ICD9 401', 'ICD9 198']",7421
"['ICD9 401', 'ICD9 198']",7422
"['ICD9 401', 'ICD9 198']",7442
"['ICD9 401', 'ICD9 198']",7528
"['ICD9 401', 'ICD9 198']",8091
"['ICD9 401', 'ICD9 198']",8797
"['ICD9 401', 'ICD9 198']",9290
"['ICD9 401', 'ICD9 198']",9446
"['ICD9 401', 'ICD9 198']",9582
"['ICD9 401', 'ICD9 198']",10232
"['ICD9 401', 'ICD9 198']",10370
"['ICD9 401', 'ICD9 198']",10395
"['ICD9 401', 'ICD9 198']",10495
"['ICD9 401', 'ICD9 198']",23526
"['ICD9 401', 'ICD9 198']",26799
"['ICD9 401', 'ICD9 198']",54431
"['ICD9 401', 'ICD9 198']",54663
"['ICD9 401', 'ICD9 198']",57016
"['ICD9 401', 'ICD9 198']",57448
"['ICD9 401', 'ICD9 198']",79727
"['ICD9 401', 'ICD9 198']",79949
"['ICD9 401', 'ICD9 198']",112939
"['ICD9 401', 'ICD9 198']",200315
"['ICD9 401', 'ICD9 198']",389421
"['ICD9 401', 'ICD9 198']",692088
"['ICD9 401', 'ICD9 198']",100506658
