edge,protein
"['ICD9 569', 'ICD9 154']",9
"['ICD9 569', 'ICD9 154']",196
"['ICD9 569', 'ICD9 154']",472
"['ICD9 569', 'ICD9 154']",672
"['ICD9 569', 'ICD9 154']",823
"['ICD9 569', 'ICD9 154']",847
"['ICD9 569', 'ICD9 154']",1029
"['ICD9 569', 'ICD9 154']",1386
"['ICD9 569', 'ICD9 154']",1436
"['ICD9 569', 'ICD9 154']",1728
"['ICD9 569', 'ICD9 154']",1869
"['ICD9 569', 'ICD9 154']",1969
"['ICD9 569', 'ICD9 154']",2067
"['ICD9 569', 'ICD9 154']",2194
"['ICD9 569', 'ICD9 154']",2740
"['ICD9 569', 'ICD9 154']",2878
"['ICD9 569', 'ICD9 154']",2923
"['ICD9 569', 'ICD9 154']",2952
"['ICD9 569', 'ICD9 154']",3297
"['ICD9 569', 'ICD9 154']",3397
"['ICD9 569', 'ICD9 154']",3553
"['ICD9 569', 'ICD9 154']",3558
"['ICD9 569', 'ICD9 154']",3606
"['ICD9 569', 'ICD9 154']",3757
"['ICD9 569', 'ICD9 154']",3845
"['ICD9 569', 'ICD9 154']",3934
"['ICD9 569', 'ICD9 154']",4057
"['ICD9 569', 'ICD9 154']",4609
"['ICD9 569', 'ICD9 154']",4846
"['ICD9 569', 'ICD9 154']",5243
"['ICD9 569', 'ICD9 154']",5329
"['ICD9 569', 'ICD9 154']",5465
"['ICD9 569', 'ICD9 154']",5743
"['ICD9 569', 'ICD9 154']",6502
"['ICD9 569', 'ICD9 154']",6528
"['ICD9 569', 'ICD9 154']",6648
"['ICD9 569', 'ICD9 154']",6722
"['ICD9 569', 'ICD9 154']",6750
"['ICD9 569', 'ICD9 154']",7015
"['ICD9 569', 'ICD9 154']",7150
"['ICD9 569', 'ICD9 154']",7403
"['ICD9 569', 'ICD9 154']",7421
"['ICD9 569', 'ICD9 154']",7422
"['ICD9 569', 'ICD9 154']",7442
"['ICD9 569', 'ICD9 154']",7528
"['ICD9 569', 'ICD9 154']",8091
"['ICD9 569', 'ICD9 154']",8797
"['ICD9 569', 'ICD9 154']",9290
"['ICD9 569', 'ICD9 154']",9446
"['ICD9 569', 'ICD9 154']",9582
"['ICD9 569', 'ICD9 154']",10232
"['ICD9 569', 'ICD9 154']",10370
"['ICD9 569', 'ICD9 154']",10395
"['ICD9 569', 'ICD9 154']",10495
"['ICD9 569', 'ICD9 154']",23526
"['ICD9 569', 'ICD9 154']",26799
"['ICD9 569', 'ICD9 154']",54431
"['ICD9 569', 'ICD9 154']",54663
"['ICD9 569', 'ICD9 154']",57016
"['ICD9 569', 'ICD9 154']",57448
"['ICD9 569', 'ICD9 154']",79727
"['ICD9 569', 'ICD9 154']",79949
"['ICD9 569', 'ICD9 154']",112939
"['ICD9 569', 'ICD9 154']",200315
"['ICD9 569', 'ICD9 154']",389421
"['ICD9 569', 'ICD9 154']",692088
"['ICD9 569', 'ICD9 154']",100506658
