edge,protein
"['ICD9 079', 'ICD9 799']",37
"['ICD9 079', 'ICD9 799']",60
"['ICD9 079', 'ICD9 799']",132
"['ICD9 079', 'ICD9 799']",191
"['ICD9 079', 'ICD9 799']",229
"['ICD9 079', 'ICD9 799']",335
"['ICD9 079', 'ICD9 799']",468
"['ICD9 079', 'ICD9 799']",506
"['ICD9 079', 'ICD9 799']",627
"['ICD9 079', 'ICD9 799']",768
"['ICD9 079', 'ICD9 799']",939
"['ICD9 079', 'ICD9 799']",1004
"['ICD9 079', 'ICD9 799']",1358
"['ICD9 079', 'ICD9 799']",1431
"['ICD9 079', 'ICD9 799']",1504
"['ICD9 079', 'ICD9 799']",1644
"['ICD9 079', 'ICD9 799']",1757
"['ICD9 079', 'ICD9 799']",1958
"['ICD9 079', 'ICD9 799']",2098
"['ICD9 079', 'ICD9 799']",2597
"['ICD9 079', 'ICD9 799']",2778
"['ICD9 079', 'ICD9 799']",3479
"['ICD9 079', 'ICD9 799']",3569
"['ICD9 079', 'ICD9 799']",3576
"['ICD9 079', 'ICD9 799']",4135
"['ICD9 079', 'ICD9 799']",4353
"['ICD9 079', 'ICD9 799']",4830
"['ICD9 079', 'ICD9 799']",4842
"['ICD9 079', 'ICD9 799']",4846
"['ICD9 079', 'ICD9 799']",4878
"['ICD9 079', 'ICD9 799']",5106
"['ICD9 079', 'ICD9 799']",5173
"['ICD9 079', 'ICD9 799']",5327
"['ICD9 079', 'ICD9 799']",5443
"['ICD9 079', 'ICD9 799']",5743
"['ICD9 079', 'ICD9 799']",5744
"['ICD9 079', 'ICD9 799']",6187
"['ICD9 079', 'ICD9 799']",6208
"['ICD9 079', 'ICD9 799']",6648
"['ICD9 079', 'ICD9 799']",7035
"['ICD9 079', 'ICD9 799']",7086
"['ICD9 079', 'ICD9 799']",7124
"['ICD9 079', 'ICD9 799']",7132
"['ICD9 079', 'ICD9 799']",7538
"['ICD9 079', 'ICD9 799']",9518
"['ICD9 079', 'ICD9 799']",10840
"['ICD9 079', 'ICD9 799']",23627
"['ICD9 079', 'ICD9 799']",51738
"['ICD9 079', 'ICD9 799']",57560
"['ICD9 079', 'ICD9 799']",59341
