edge,protein
"['ICD9 599', 'ICD9 272']",12
"['ICD9 599', 'ICD9 272']",19
"['ICD9 599', 'ICD9 272']",208
"['ICD9 599', 'ICD9 272']",335
"['ICD9 599', 'ICD9 272']",336
"['ICD9 599', 'ICD9 272']",337
"['ICD9 599', 'ICD9 272']",338
"['ICD9 599', 'ICD9 272']",344
"['ICD9 599', 'ICD9 272']",345
"['ICD9 599', 'ICD9 272']",348
"['ICD9 599', 'ICD9 272']",427
"['ICD9 599', 'ICD9 272']",440
"['ICD9 599', 'ICD9 272']",857
"['ICD9 599', 'ICD9 272']",950
"['ICD9 599', 'ICD9 272']",1071
"['ICD9 599', 'ICD9 272']",1118
"['ICD9 599', 'ICD9 272']",1174
"['ICD9 599', 'ICD9 272']",1593
"['ICD9 599', 'ICD9 272']",1636
"['ICD9 599', 'ICD9 272']",1893
"['ICD9 599', 'ICD9 272']",2053
"['ICD9 599', 'ICD9 272']",2168
"['ICD9 599', 'ICD9 272']",2629
"['ICD9 599', 'ICD9 272']",2690
"['ICD9 599', 'ICD9 272']",2717
"['ICD9 599', 'ICD9 272']",3032
"['ICD9 599', 'ICD9 272']",3156
"['ICD9 599', 'ICD9 272']",3249
"['ICD9 599', 'ICD9 272']",3949
"['ICD9 599', 'ICD9 272']",3988
"['ICD9 599', 'ICD9 272']",3990
"['ICD9 599', 'ICD9 272']",3991
"['ICD9 599', 'ICD9 272']",4000
"['ICD9 599', 'ICD9 272']",4018
"['ICD9 599', 'ICD9 272']",4023
"['ICD9 599', 'ICD9 272']",4047
"['ICD9 599', 'ICD9 272']",4547
"['ICD9 599', 'ICD9 272']",4668
"['ICD9 599', 'ICD9 272']",4758
"['ICD9 599', 'ICD9 272']",4864
"['ICD9 599', 'ICD9 272']",5346
"['ICD9 599', 'ICD9 272']",5424
"['ICD9 599', 'ICD9 272']",5444
"['ICD9 599', 'ICD9 272']",5445
"['ICD9 599', 'ICD9 272']",5468
"['ICD9 599', 'ICD9 272']",6319
"['ICD9 599', 'ICD9 272']",6515
"['ICD9 599', 'ICD9 272']",6609
"['ICD9 599', 'ICD9 272']",6622
"['ICD9 599', 'ICD9 272']",6648
"['ICD9 599', 'ICD9 272']",6876
"['ICD9 599', 'ICD9 272']",8431
"['ICD9 599', 'ICD9 272']",8540
"['ICD9 599', 'ICD9 272']",9415
"['ICD9 599', 'ICD9 272']",10020
"['ICD9 599', 'ICD9 272']",10038
"['ICD9 599', 'ICD9 272']",10269
"['ICD9 599', 'ICD9 272']",10555
"['ICD9 599', 'ICD9 272']",10577
"['ICD9 599', 'ICD9 272']",10842
"['ICD9 599', 'ICD9 272']",11067
"['ICD9 599', 'ICD9 272']",26119
"['ICD9 599', 'ICD9 272']",26471
"['ICD9 599', 'ICD9 272']",26503
"['ICD9 599', 'ICD9 272']",26580
"['ICD9 599', 'ICD9 272']",55062
"['ICD9 599', 'ICD9 272']",57192
"['ICD9 599', 'ICD9 272']",63924
"['ICD9 599', 'ICD9 272']",64838
"['ICD9 599', 'ICD9 272']",79153
"['ICD9 599', 'ICD9 272']",79158
"['ICD9 599', 'ICD9 272']",80025
"['ICD9 599', 'ICD9 272']",83729
"['ICD9 599', 'ICD9 272']",84572
"['ICD9 599', 'ICD9 272']",116519
"['ICD9 599', 'ICD9 272']",255738
