edge,protein
"['ICD9 311', 'ICD9 276']",154
"['ICD9 311', 'ICD9 276']",183
"['ICD9 311', 'ICD9 276']",551
"['ICD9 311', 'ICD9 276']",1586
"['ICD9 311', 'ICD9 276']",2908
"['ICD9 311', 'ICD9 276']",2937
"['ICD9 311', 'ICD9 276']",3630
"['ICD9 311', 'ICD9 276']",3712
"['ICD9 311', 'ICD9 276']",4780
"['ICD9 311', 'ICD9 276']",4879
"['ICD9 311', 'ICD9 276']",5019
"['ICD9 311', 'ICD9 276']",5095
"['ICD9 311', 'ICD9 276']",5096
"['ICD9 311', 'ICD9 276']",5443
"['ICD9 311', 'ICD9 276']",6559
"['ICD9 311', 'ICD9 276']",6584
"['ICD9 311', 'ICD9 276']",6750
"['ICD9 311', 'ICD9 276']",389015
