edge,protein
"['ICD9 401', 'ICD9 272']",26
"['ICD9 401', 'ICD9 272']",34
"['ICD9 401', 'ICD9 272']",111
"['ICD9 401', 'ICD9 272']",118
"['ICD9 401', 'ICD9 272']",150
"['ICD9 401', 'ICD9 272']",153
"['ICD9 401', 'ICD9 272']",156
"['ICD9 401', 'ICD9 272']",161
"['ICD9 401', 'ICD9 272']",166
"['ICD9 401', 'ICD9 272']",183
"['ICD9 401', 'ICD9 272']",185
"['ICD9 401', 'ICD9 272']",186
"['ICD9 401', 'ICD9 272']",196
"['ICD9 401', 'ICD9 272']",208
"['ICD9 401', 'ICD9 272']",210
"['ICD9 401', 'ICD9 272']",213
"['ICD9 401', 'ICD9 272']",246
"['ICD9 401', 'ICD9 272']",301
"['ICD9 401', 'ICD9 272']",308
"['ICD9 401', 'ICD9 272']",335
"['ICD9 401', 'ICD9 272']",348
"['ICD9 401', 'ICD9 272']",355
"['ICD9 401', 'ICD9 272']",358
"['ICD9 401', 'ICD9 272']",367
"['ICD9 401', 'ICD9 272']",382
"['ICD9 401', 'ICD9 272']",387
"['ICD9 401', 'ICD9 272']",467
"['ICD9 401', 'ICD9 272']",475
"['ICD9 401', 'ICD9 272']",476
"['ICD9 401', 'ICD9 272']",477
"['ICD9 401', 'ICD9 272']",481
"['ICD9 401', 'ICD9 272']",486
"['ICD9 401', 'ICD9 272']",488
"['ICD9 401', 'ICD9 272']",489
"['ICD9 401', 'ICD9 272']",490
"['ICD9 401', 'ICD9 272']",492
"['ICD9 401', 'ICD9 272']",523
"['ICD9 401', 'ICD9 272']",537
"['ICD9 401', 'ICD9 272']",551
"['ICD9 401', 'ICD9 272']",596
"['ICD9 401', 'ICD9 272']",598
"['ICD9 401', 'ICD9 272']",617
"['ICD9 401', 'ICD9 272']",624
"['ICD9 401', 'ICD9 272']",635
"['ICD9 401', 'ICD9 272']",673
"['ICD9 401', 'ICD9 272']",718
"['ICD9 401', 'ICD9 272']",775
