edge,protein
"['ICD9 285', 'ICD9 311']",22
"['ICD9 285', 'ICD9 311']",34
"['ICD9 285', 'ICD9 311']",43
"['ICD9 285', 'ICD9 311']",142
"['ICD9 285', 'ICD9 311']",161
"['ICD9 285', 'ICD9 311']",166
"['ICD9 285', 'ICD9 311']",183
"['ICD9 285', 'ICD9 311']",210
"['ICD9 285', 'ICD9 311']",212
"['ICD9 285', 'ICD9 311']",355
"['ICD9 285', 'ICD9 311']",382
"['ICD9 285', 'ICD9 311']",387
"['ICD9 285', 'ICD9 311']",481
"['ICD9 285', 'ICD9 311']",523
"['ICD9 285', 'ICD9 311']",537
"['ICD9 285', 'ICD9 311']",538
"['ICD9 285', 'ICD9 311']",617
"['ICD9 285', 'ICD9 311']",949
"['ICD9 285', 'ICD9 311']",1021
"['ICD9 285', 'ICD9 311']",1063
"['ICD9 285', 'ICD9 311']",1173
"['ICD9 285', 'ICD9 311']",1291
"['ICD9 285', 'ICD9 311']",1312
"['ICD9 285', 'ICD9 311']",1437
"['ICD9 285', 'ICD9 311']",1440
"['ICD9 285', 'ICD9 311']",1459
"['ICD9 285', 'ICD9 311']",1460
"['ICD9 285', 'ICD9 311']",1662
"['ICD9 285', 'ICD9 311']",1727
"['ICD9 285', 'ICD9 311']",1786
"['ICD9 285', 'ICD9 311']",1861
"['ICD9 285', 'ICD9 311']",2011
"['ICD9 285', 'ICD9 311']",2040
"['ICD9 285', 'ICD9 311']",2056
"['ICD9 285', 'ICD9 311']",2108
"['ICD9 285', 'ICD9 311']",2150
"['ICD9 285', 'ICD9 311']",2181
"['ICD9 285', 'ICD9 311']",2200
"['ICD9 285', 'ICD9 311']",2201
"['ICD9 285', 'ICD9 311']",2623
"['ICD9 285', 'ICD9 311']",2671
"['ICD9 285', 'ICD9 311']",2677
"['ICD9 285', 'ICD9 311']",2717
"['ICD9 285', 'ICD9 311']",2782
"['ICD9 285', 'ICD9 311']",2787
"['ICD9 285', 'ICD9 311']",2801
"['ICD9 285', 'ICD9 311']",2802
"['ICD9 285', 'ICD9 311']",2804
"['ICD9 285', 'ICD9 311']",2876
"['ICD9 285', 'ICD9 311']",2936
"['ICD9 285', 'ICD9 311']",2963
"['ICD9 285', 'ICD9 311']",3066
"['ICD9 285', 'ICD9 311']",3162
"['ICD9 285', 'ICD9 311']",3239
"['ICD9 285', 'ICD9 311']",3240
"['ICD9 285', 'ICD9 311']",3281
"['ICD9 285', 'ICD9 311']",3313
"['ICD9 285', 'ICD9 311']",3416
"['ICD9 285', 'ICD9 311']",3440
"['ICD9 285', 'ICD9 311']",3481
"['ICD9 285', 'ICD9 311']",3558
"['ICD9 285', 'ICD9 311']",3562
"['ICD9 285', 'ICD9 311']",3615
"['ICD9 285', 'ICD9 311']",3688
"['ICD9 285', 'ICD9 311']",3845
"['ICD9 285', 'ICD9 311']",4015
"['ICD9 285', 'ICD9 311']",4139
"['ICD9 285', 'ICD9 311']",4140
"['ICD9 285', 'ICD9 311']",4218
"['ICD9 285', 'ICD9 311']",4240
"['ICD9 285', 'ICD9 311']",4343
"['ICD9 285', 'ICD9 311']",4363
"['ICD9 285', 'ICD9 311']",4524
"['ICD9 285', 'ICD9 311']",4548
"['ICD9 285', 'ICD9 311']",4715
"['ICD9 285', 'ICD9 311']",4758
"['ICD9 285', 'ICD9 311']",4884
"['ICD9 285', 'ICD9 311']",4891
"['ICD9 285', 'ICD9 311']",4927
"['ICD9 285', 'ICD9 311']",4928
"['ICD9 285', 'ICD9 311']",5046
"['ICD9 285', 'ICD9 311']",5116
"['ICD9 285', 'ICD9 311']",5313
"['ICD9 285', 'ICD9 311']",5318
"['ICD9 285', 'ICD9 311']",5327
"['ICD9 285', 'ICD9 311']",5352
"['ICD9 285', 'ICD9 311']",5422
"['ICD9 285', 'ICD9 311']",5447
"['ICD9 285', 'ICD9 311']",5538
"['ICD9 285', 'ICD9 311']",5557
"['ICD9 285', 'ICD9 311']",5558
"['ICD9 285', 'ICD9 311']",5566
"['ICD9 285', 'ICD9 311']",5576
"['ICD9 285', 'ICD9 311']",5577
"['ICD9 285', 'ICD9 311']",5617
"['ICD9 285', 'ICD9 311']",5714
"['ICD9 285', 'ICD9 311']",5741
"['ICD9 285', 'ICD9 311']",5817
"['ICD9 285', 'ICD9 311']",5861
"['ICD9 285', 'ICD9 311']",5862
"['ICD9 285', 'ICD9 311']",5878
"['ICD9 285', 'ICD9 311']",5898
"['ICD9 285', 'ICD9 311']",5910
"['ICD9 285', 'ICD9 311']",5962
"['ICD9 285', 'ICD9 311']",5972
"['ICD9 285', 'ICD9 311']",5976
"['ICD9 285', 'ICD9 311']",6005
"['ICD9 285', 'ICD9 311']",6006
"['ICD9 285', 'ICD9 311']",6007
"['ICD9 285', 'ICD9 311']",6046
"['ICD9 285', 'ICD9 311']",6223
"['ICD9 285', 'ICD9 311']",6320
"['ICD9 285', 'ICD9 311']",6388
"['ICD9 285', 'ICD9 311']",6521
"['ICD9 285', 'ICD9 311']",6648
"['ICD9 285', 'ICD9 311']",6728
"['ICD9 285', 'ICD9 311']",6729
"['ICD9 285', 'ICD9 311']",6731
"['ICD9 285', 'ICD9 311']",6902
"['ICD9 285', 'ICD9 311']",6921
"['ICD9 285', 'ICD9 311']",6923
"['ICD9 285', 'ICD9 311']",6938
"['ICD9 285', 'ICD9 311']",7088
"['ICD9 285', 'ICD9 311']",7090
"['ICD9 285', 'ICD9 311']",7124
"['ICD9 285', 'ICD9 311']",7298
"['ICD9 285', 'ICD9 311']",7458
"['ICD9 285', 'ICD9 311']",7466
"['ICD9 285', 'ICD9 311']",7468
"['ICD9 285', 'ICD9 311']",7504
"['ICD9 285', 'ICD9 311']",7812
"['ICD9 285', 'ICD9 311']",7841
"['ICD9 285', 'ICD9 311']",7879
"['ICD9 285', 'ICD9 311']",7905
"['ICD9 285', 'ICD9 311']",7993
"['ICD9 285', 'ICD9 311']",8021
"['ICD9 285', 'ICD9 311']",8453
"['ICD9 285', 'ICD9 311']",8480
"['ICD9 285', 'ICD9 311']",8540
"['ICD9 285', 'ICD9 311']",8546
"['ICD9 285', 'ICD9 311']",8614
"['ICD9 285', 'ICD9 311']",8733
"['ICD9 285', 'ICD9 311']",8737
"['ICD9 285', 'ICD9 311']",8754
"['ICD9 285', 'ICD9 311']",8761
"['ICD9 285', 'ICD9 311']",8797
"['ICD9 285', 'ICD9 311']",8836
"['ICD9 285', 'ICD9 311']",8975
"['ICD9 285', 'ICD9 311']",9136
"['ICD9 285', 'ICD9 311']",9188
"['ICD9 285', 'ICD9 311']",9368
"['ICD9 285', 'ICD9 311']",9470
"['ICD9 285', 'ICD9 311']",9474
"['ICD9 285', 'ICD9 311']",9510
"['ICD9 285', 'ICD9 311']",9512
"['ICD9 285', 'ICD9 311']",9518
"['ICD9 285', 'ICD9 311']",9529
"['ICD9 285', 'ICD9 311']",9648
"['ICD9 285', 'ICD9 311']",9653
"['ICD9 285', 'ICD9 311']",9659
"['ICD9 285', 'ICD9 311']",9662
"['ICD9 285', 'ICD9 311']",9755
"['ICD9 285', 'ICD9 311']",9818
"['ICD9 285', 'ICD9 311']",9857
