edge,protein
"['ICD9 379', 'ICD9 250']",24
"['ICD9 379', 'ICD9 250']",34
"['ICD9 379', 'ICD9 250']",116
"['ICD9 379', 'ICD9 250']",161
"['ICD9 379', 'ICD9 250']",166
"['ICD9 379', 'ICD9 250']",196
"['ICD9 379', 'ICD9 250']",382
"['ICD9 379', 'ICD9 250']",387
"['ICD9 379', 'ICD9 250']",481
"['ICD9 379', 'ICD9 250']",523
"['ICD9 379', 'ICD9 250']",537
"['ICD9 379', 'ICD9 250']",582
"['ICD9 379', 'ICD9 250']",583
"['ICD9 379', 'ICD9 250']",585
"['ICD9 379', 'ICD9 250']",617
"['ICD9 379', 'ICD9 250']",652
"['ICD9 379', 'ICD9 250']",762
"['ICD9 379', 'ICD9 250']",778
"['ICD9 379', 'ICD9 250']",949
"['ICD9 379', 'ICD9 250']",1001
"['ICD9 379', 'ICD9 250']",1063
"['ICD9 379', 'ICD9 250']",1121
"['ICD9 379', 'ICD9 250']",1173
"['ICD9 379', 'ICD9 250']",1200
"['ICD9 379', 'ICD9 250']",1201
"['ICD9 379', 'ICD9 250']",1203
"['ICD9 379', 'ICD9 250']",1258
"['ICD9 379', 'ICD9 250']",1259
"['ICD9 379', 'ICD9 250']",1261
"['ICD9 379', 'ICD9 250']",1280
"['ICD9 379', 'ICD9 250']",1282
"['ICD9 379', 'ICD9 250']",1291
"['ICD9 379', 'ICD9 250']",1297
"['ICD9 379', 'ICD9 250']",1298
"['ICD9 379', 'ICD9 250']",1301
"['ICD9 379', 'ICD9 250']",1302
"['ICD9 379', 'ICD9 250']",1312
"['ICD9 379', 'ICD9 250']",1406
"['ICD9 379', 'ICD9 250']",1459
"['ICD9 379', 'ICD9 250']",1460
"['ICD9 379', 'ICD9 250']",1462
"['ICD9 379', 'ICD9 250']",1509
"['ICD9 379', 'ICD9 250']",1545
"['ICD9 379', 'ICD9 250']",1593
"['ICD9 379', 'ICD9 250']",1662
"['ICD9 379', 'ICD9 250']",1678
"['ICD9 379', 'ICD9 250']",1727
"['ICD9 379', 'ICD9 250']",1786
"['ICD9 379', 'ICD9 250']",1861
"['ICD9 379', 'ICD9 250']",2011
"['ICD9 379', 'ICD9 250']",2040
"['ICD9 379', 'ICD9 250']",2055
"['ICD9 379', 'ICD9 250']",2108
"['ICD9 379', 'ICD9 250']",2150
"['ICD9 379', 'ICD9 250']",2181
"['ICD9 379', 'ICD9 250']",2200
"['ICD9 379', 'ICD9 250']",2201
"['ICD9 379', 'ICD9 250']",2202
"['ICD9 379', 'ICD9 250']",2296
"['ICD9 379', 'ICD9 250']",2671
"['ICD9 379', 'ICD9 250']",2677
"['ICD9 379', 'ICD9 250']",2717
"['ICD9 379', 'ICD9 250']",2779
"['ICD9 379', 'ICD9 250']",2780
"['ICD9 379', 'ICD9 250']",2782
"['ICD9 379', 'ICD9 250']",2787
"['ICD9 379', 'ICD9 250']",2801
"['ICD9 379', 'ICD9 250']",2802
"['ICD9 379', 'ICD9 250']",2804
"['ICD9 379', 'ICD9 250']",2876
"['ICD9 379', 'ICD9 250']",2896
"['ICD9 379', 'ICD9 250']",2963
"['ICD9 379', 'ICD9 250']",2978
"['ICD9 379', 'ICD9 250']",2979
"['ICD9 379', 'ICD9 250']",3000
"['ICD9 379', 'ICD9 250']",3035
"['ICD9 379', 'ICD9 250']",3052
"['ICD9 379', 'ICD9 250']",3066
"['ICD9 379', 'ICD9 250']",3162
"['ICD9 379', 'ICD9 250']",3281
"['ICD9 379', 'ICD9 250']",3416
"['ICD9 379', 'ICD9 250']",3420
"['ICD9 379', 'ICD9 250']",3614
"['ICD9 379', 'ICD9 250']",3615
"['ICD9 379', 'ICD9 250']",3688
"['ICD9 379', 'ICD9 250']",3769
"['ICD9 379', 'ICD9 250']",4015
"['ICD9 379', 'ICD9 250']",4041
"['ICD9 379', 'ICD9 250']",4117
"['ICD9 379', 'ICD9 250']",4139
"['ICD9 379', 'ICD9 250']",4140
"['ICD9 379', 'ICD9 250']",4218
"['ICD9 379', 'ICD9 250']",4240
"['ICD9 379', 'ICD9 250']",4308
"['ICD9 379', 'ICD9 250']",4343
"['ICD9 379', 'ICD9 250']",4363
