edge,protein
"['ICD9 366', 'ICD9 585']",34
"['ICD9 366', 'ICD9 585']",161
"['ICD9 366', 'ICD9 585']",166
"['ICD9 366', 'ICD9 585']",218
"['ICD9 366', 'ICD9 585']",231
"['ICD9 366', 'ICD9 585']",382
"['ICD9 366', 'ICD9 585']",387
"['ICD9 366', 'ICD9 585']",472
"['ICD9 366', 'ICD9 585']",481
"['ICD9 366', 'ICD9 585']",490
"['ICD9 366', 'ICD9 585']",523
"['ICD9 366', 'ICD9 585']",537
"['ICD9 366', 'ICD9 585']",617
"['ICD9 366', 'ICD9 585']",631
"['ICD9 366', 'ICD9 585']",949
"['ICD9 366', 'ICD9 585']",1063
"['ICD9 366', 'ICD9 585']",1173
"['ICD9 366', 'ICD9 585']",1280
"['ICD9 366', 'ICD9 585']",1291
"['ICD9 366', 'ICD9 585']",1312
"['ICD9 366', 'ICD9 585']",1409
"['ICD9 366', 'ICD9 585']",1410
"['ICD9 366', 'ICD9 585']",1411
"['ICD9 366', 'ICD9 585']",1412
"['ICD9 366', 'ICD9 585']",1414
"['ICD9 366', 'ICD9 585']",1415
"['ICD9 366', 'ICD9 585']",1417
"['ICD9 366', 'ICD9 585']",1420
"['ICD9 366', 'ICD9 585']",1421
"['ICD9 366', 'ICD9 585']",1427
"['ICD9 366', 'ICD9 585']",1459
"['ICD9 366', 'ICD9 585']",1460
"['ICD9 366', 'ICD9 585']",1662
"['ICD9 366', 'ICD9 585']",1717
"['ICD9 366', 'ICD9 585']",1727
"['ICD9 366', 'ICD9 585']",1786
"['ICD9 366', 'ICD9 585']",1861
"['ICD9 366', 'ICD9 585']",1969
"['ICD9 366', 'ICD9 585']",2011
"['ICD9 366', 'ICD9 585']",2040
"['ICD9 366', 'ICD9 585']",2074
"['ICD9 366', 'ICD9 585']",2108
"['ICD9 366', 'ICD9 585']",2150
"['ICD9 366', 'ICD9 585']",2181
"['ICD9 366', 'ICD9 585']",2200
"['ICD9 366', 'ICD9 585']",2201
"['ICD9 366', 'ICD9 585']",2584
"['ICD9 366', 'ICD9 585']",2592
"['ICD9 366', 'ICD9 585']",2671
"['ICD9 366', 'ICD9 585']",2677
"['ICD9 366', 'ICD9 585']",2700
"['ICD9 366', 'ICD9 585']",2703
"['ICD9 366', 'ICD9 585']",2717
"['ICD9 366', 'ICD9 585']",2782
"['ICD9 366', 'ICD9 585']",2787
"['ICD9 366', 'ICD9 585']",2801
"['ICD9 366', 'ICD9 585']",2802
"['ICD9 366', 'ICD9 585']",2804
"['ICD9 366', 'ICD9 585']",2876
"['ICD9 366', 'ICD9 585']",2963
"['ICD9 366', 'ICD9 585']",3066
"['ICD9 366', 'ICD9 585']",3162
"['ICD9 366', 'ICD9 585']",3281
"['ICD9 366', 'ICD9 585']",3299
"['ICD9 366', 'ICD9 585']",3416
"['ICD9 366', 'ICD9 585']",3615
"['ICD9 366', 'ICD9 585']",3688
"['ICD9 366', 'ICD9 585']",3982
"['ICD9 366', 'ICD9 585']",4015
"['ICD9 366', 'ICD9 585']",4094
"['ICD9 366', 'ICD9 585']",4139
"['ICD9 366', 'ICD9 585']",4140
"['ICD9 366', 'ICD9 585']",4218
"['ICD9 366', 'ICD9 585']",4240
"['ICD9 366', 'ICD9 585']",4284
"['ICD9 366', 'ICD9 585']",4343
"['ICD9 366', 'ICD9 585']",4363
"['ICD9 366', 'ICD9 585']",4627
"['ICD9 366', 'ICD9 585']",4715
"['ICD9 366', 'ICD9 585']",4758
"['ICD9 366', 'ICD9 585']",4810
"['ICD9 366', 'ICD9 585']",4884
"['ICD9 366', 'ICD9 585']",4927
"['ICD9 366', 'ICD9 585']",4928
"['ICD9 366', 'ICD9 585']",5046
"['ICD9 366', 'ICD9 585']",5080
"['ICD9 366', 'ICD9 585']",5116
"['ICD9 366', 'ICD9 585']",5308
"['ICD9 366', 'ICD9 585']",5309
"['ICD9 366', 'ICD9 585']",5318
"['ICD9 366', 'ICD9 585']",5327
"['ICD9 366', 'ICD9 585']",5352
"['ICD9 366', 'ICD9 585']",5422
"['ICD9 366', 'ICD9 585']",5447
"['ICD9 366', 'ICD9 585']",5538
"['ICD9 366', 'ICD9 585']",5557
"['ICD9 366', 'ICD9 585']",5558
"['ICD9 366', 'ICD9 585']",5566
"['ICD9 366', 'ICD9 585']",5576
"['ICD9 366', 'ICD9 585']",5577
"['ICD9 366', 'ICD9 585']",5714
"['ICD9 366', 'ICD9 585']",5817
"['ICD9 366', 'ICD9 585']",5861
"['ICD9 366', 'ICD9 585']",5862
"['ICD9 366', 'ICD9 585']",5878
"['ICD9 366', 'ICD9 585']",5898
"['ICD9 366', 'ICD9 585']",5910
"['ICD9 366', 'ICD9 585']",5962
"['ICD9 366', 'ICD9 585']",5976
"['ICD9 366', 'ICD9 585']",6046
"['ICD9 366', 'ICD9 585']",6309
"['ICD9 366', 'ICD9 585']",6388
"['ICD9 366', 'ICD9 585']",6513
"['ICD9 366', 'ICD9 585']",6728
