edge,protein
"['ICD9 458', 'ICD9 519']",34
"['ICD9 458', 'ICD9 519']",134
"['ICD9 458', 'ICD9 519']",135
"['ICD9 458', 'ICD9 519']",147
"['ICD9 458', 'ICD9 519']",150
"['ICD9 458', 'ICD9 519']",161
"['ICD9 458', 'ICD9 519']",166
"['ICD9 458', 'ICD9 519']",183
"['ICD9 458', 'ICD9 519']",213
"['ICD9 458', 'ICD9 519']",382
"['ICD9 458', 'ICD9 519']",387
"['ICD9 458', 'ICD9 519']",481
"['ICD9 458', 'ICD9 519']",523
"['ICD9 458', 'ICD9 519']",537
"['ICD9 458', 'ICD9 519']",551
"['ICD9 458', 'ICD9 519']",617
"['ICD9 458', 'ICD9 519']",624
"['ICD9 458', 'ICD9 519']",847
"['ICD9 458', 'ICD9 519']",949
"['ICD9 458', 'ICD9 519']",1063
"['ICD9 458', 'ICD9 519']",1173
"['ICD9 458', 'ICD9 519']",1268
"['ICD9 458', 'ICD9 519']",1291
"['ICD9 458', 'ICD9 519']",1312
"['ICD9 458', 'ICD9 519']",1392
"['ICD9 458', 'ICD9 519']",1459
"['ICD9 458', 'ICD9 519']",1460
"['ICD9 458', 'ICD9 519']",1489
"['ICD9 458', 'ICD9 519']",1636
"['ICD9 458', 'ICD9 519']",1662
"['ICD9 458', 'ICD9 519']",1727
"['ICD9 458', 'ICD9 519']",1786
"['ICD9 458', 'ICD9 519']",1812
"['ICD9 458', 'ICD9 519']",1813
"['ICD9 458', 'ICD9 519']",1861
"['ICD9 458', 'ICD9 519']",1906
"['ICD9 458', 'ICD9 519']",1908
"['ICD9 458', 'ICD9 519']",2011
"['ICD9 458', 'ICD9 519']",2040
"['ICD9 458', 'ICD9 519']",2108
"['ICD9 458', 'ICD9 519']",2150
"['ICD9 458', 'ICD9 519']",2181
"['ICD9 458', 'ICD9 519']",2200
"['ICD9 458', 'ICD9 519']",2201
"['ICD9 458', 'ICD9 519']",2246
"['ICD9 458', 'ICD9 519']",2641
"['ICD9 458', 'ICD9 519']",2671
"['ICD9 458', 'ICD9 519']",2677
"['ICD9 458', 'ICD9 519']",2717
"['ICD9 458', 'ICD9 519']",2782
"['ICD9 458', 'ICD9 519']",2787
"['ICD9 458', 'ICD9 519']",2801
"['ICD9 458', 'ICD9 519']",2802
"['ICD9 458', 'ICD9 519']",2804
"['ICD9 458', 'ICD9 519']",2876
"['ICD9 458', 'ICD9 519']",2890
"['ICD9 458', 'ICD9 519']",2904
"['ICD9 458', 'ICD9 519']",2963
"['ICD9 458', 'ICD9 519']",3066
"['ICD9 458', 'ICD9 519']",3162
"['ICD9 458', 'ICD9 519']",3269
"['ICD9 458', 'ICD9 519']",3281
"['ICD9 458', 'ICD9 519']",3351
"['ICD9 458', 'ICD9 519']",3352
"['ICD9 458', 'ICD9 519']",3416
"['ICD9 458', 'ICD9 519']",3458
"['ICD9 458', 'ICD9 519']",3552
"['ICD9 458', 'ICD9 519']",3553
"['ICD9 458', 'ICD9 519']",3558
"['ICD9 458', 'ICD9 519']",3569
"['ICD9 458', 'ICD9 519']",3615
"['ICD9 458', 'ICD9 519']",3630
"['ICD9 458', 'ICD9 519']",3688
"['ICD9 458', 'ICD9 519']",3827
"['ICD9 458', 'ICD9 519']",4015
"['ICD9 458', 'ICD9 519']",4057
"['ICD9 458', 'ICD9 519']",4128
"['ICD9 458', 'ICD9 519']",4129
"['ICD9 458', 'ICD9 519']",4139
"['ICD9 458', 'ICD9 519']",4140
"['ICD9 458', 'ICD9 519']",4218
"['ICD9 458', 'ICD9 519']",4240
"['ICD9 458', 'ICD9 519']",4343
"['ICD9 458', 'ICD9 519']",4363
"['ICD9 458', 'ICD9 519']",4715
"['ICD9 458', 'ICD9 519']",4758
"['ICD9 458', 'ICD9 519']",4878
"['ICD9 458', 'ICD9 519']",4879
"['ICD9 458', 'ICD9 519']",4884
"['ICD9 458', 'ICD9 519']",4927
"['ICD9 458', 'ICD9 519']",4928
"['ICD9 458', 'ICD9 519']",4985
"['ICD9 458', 'ICD9 519']",4988
"['ICD9 458', 'ICD9 519']",5020
"['ICD9 458', 'ICD9 519']",5046
