edge,protein
"['ICD9 218', 'ICD9 780']",9
"['ICD9 218', 'ICD9 780']",34
"['ICD9 218', 'ICD9 780']",161
"['ICD9 218', 'ICD9 780']",166
"['ICD9 218', 'ICD9 780']",196
"['ICD9 218', 'ICD9 780']",382
"['ICD9 218', 'ICD9 780']",387
"['ICD9 218', 'ICD9 780']",472
"['ICD9 218', 'ICD9 780']",481
"['ICD9 218', 'ICD9 780']",523
"['ICD9 218', 'ICD9 780']",537
"['ICD9 218', 'ICD9 780']",617
"['ICD9 218', 'ICD9 780']",672
"['ICD9 218', 'ICD9 780']",823
"['ICD9 218', 'ICD9 780']",847
"['ICD9 218', 'ICD9 780']",949
"['ICD9 218', 'ICD9 780']",1029
"['ICD9 218', 'ICD9 780']",1063
"['ICD9 218', 'ICD9 780']",1173
"['ICD9 218', 'ICD9 780']",1291
"['ICD9 218', 'ICD9 780']",1312
"['ICD9 218', 'ICD9 780']",1386
"['ICD9 218', 'ICD9 780']",1436
"['ICD9 218', 'ICD9 780']",1459
"['ICD9 218', 'ICD9 780']",1460
"['ICD9 218', 'ICD9 780']",1662
"['ICD9 218', 'ICD9 780']",1727
"['ICD9 218', 'ICD9 780']",1728
"['ICD9 218', 'ICD9 780']",1786
"['ICD9 218', 'ICD9 780']",1861
"['ICD9 218', 'ICD9 780']",1869
"['ICD9 218', 'ICD9 780']",1969
"['ICD9 218', 'ICD9 780']",2011
"['ICD9 218', 'ICD9 780']",2040
"['ICD9 218', 'ICD9 780']",2067
"['ICD9 218', 'ICD9 780']",2099
"['ICD9 218', 'ICD9 780']",2108
"['ICD9 218', 'ICD9 780']",2150
"['ICD9 218', 'ICD9 780']",2181
"['ICD9 218', 'ICD9 780']",2194
"['ICD9 218', 'ICD9 780']",2200
"['ICD9 218', 'ICD9 780']",2201
"['ICD9 218', 'ICD9 780']",2271
"['ICD9 218', 'ICD9 780']",2671
"['ICD9 218', 'ICD9 780']",2677
"['ICD9 218', 'ICD9 780']",2717
"['ICD9 218', 'ICD9 780']",2740
"['ICD9 218', 'ICD9 780']",2782
"['ICD9 218', 'ICD9 780']",2787
"['ICD9 218', 'ICD9 780']",2801
"['ICD9 218', 'ICD9 780']",2802
"['ICD9 218', 'ICD9 780']",2804
"['ICD9 218', 'ICD9 780']",2876
"['ICD9 218', 'ICD9 780']",2878
"['ICD9 218', 'ICD9 780']",2923
"['ICD9 218', 'ICD9 780']",2952
"['ICD9 218', 'ICD9 780']",2963
"['ICD9 218', 'ICD9 780']",3066
"['ICD9 218', 'ICD9 780']",3162
"['ICD9 218', 'ICD9 780']",3281
"['ICD9 218', 'ICD9 780']",3297
"['ICD9 218', 'ICD9 780']",3397
"['ICD9 218', 'ICD9 780']",3416
"['ICD9 218', 'ICD9 780']",3553
"['ICD9 218', 'ICD9 780']",3558
"['ICD9 218', 'ICD9 780']",3606
"['ICD9 218', 'ICD9 780']",3615
"['ICD9 218', 'ICD9 780']",3624
"['ICD9 218', 'ICD9 780']",3688
"['ICD9 218', 'ICD9 780']",3757
"['ICD9 218', 'ICD9 780']",3845
"['ICD9 218', 'ICD9 780']",3934
"['ICD9 218', 'ICD9 780']",4015
"['ICD9 218', 'ICD9 780']",4057
"['ICD9 218', 'ICD9 780']",4088
"['ICD9 218', 'ICD9 780']",4139
"['ICD9 218', 'ICD9 780']",4140
"['ICD9 218', 'ICD9 780']",4218
"['ICD9 218', 'ICD9 780']",4240
"['ICD9 218', 'ICD9 780']",4343
"['ICD9 218', 'ICD9 780']",4363
"['ICD9 218', 'ICD9 780']",4609
"['ICD9 218', 'ICD9 780']",4715
"['ICD9 218', 'ICD9 780']",4758
"['ICD9 218', 'ICD9 780']",4846
"['ICD9 218', 'ICD9 780']",4884
"['ICD9 218', 'ICD9 780']",4927
"['ICD9 218', 'ICD9 780']",4928
