edge,protein
"['ICD9 250', 'ICD9 272']",32
"['ICD9 250', 'ICD9 272']",34
"['ICD9 250', 'ICD9 272']",111
"['ICD9 250', 'ICD9 272']",153
"['ICD9 250', 'ICD9 272']",154
"['ICD9 250', 'ICD9 272']",161
"['ICD9 250', 'ICD9 272']",166
"['ICD9 250', 'ICD9 272']",183
"['ICD9 250', 'ICD9 272']",196
"['ICD9 250', 'ICD9 272']",208
"['ICD9 250', 'ICD9 272']",213
"['ICD9 250', 'ICD9 272']",217
"['ICD9 250', 'ICD9 272']",231
"['ICD9 250', 'ICD9 272']",355
"['ICD9 250', 'ICD9 272']",367
"['ICD9 250', 'ICD9 272']",382
"['ICD9 250', 'ICD9 272']",387
"['ICD9 250', 'ICD9 272']",412
"['ICD9 250', 'ICD9 272']",467
"['ICD9 250', 'ICD9 272']",481
"['ICD9 250', 'ICD9 272']",488
"['ICD9 250', 'ICD9 272']",489
"['ICD9 250', 'ICD9 272']",523
"['ICD9 250', 'ICD9 272']",537
"['ICD9 250', 'ICD9 272']",547
"['ICD9 250', 'ICD9 272']",558
"['ICD9 250', 'ICD9 272']",596
"['ICD9 250', 'ICD9 272']",598
"['ICD9 250', 'ICD9 272']",617
"['ICD9 250', 'ICD9 272']",635
"['ICD9 250', 'ICD9 272']",673
"['ICD9 250', 'ICD9 272']",718
"['ICD9 250', 'ICD9 272']",834
"['ICD9 250', 'ICD9 272']",836
"['ICD9 250', 'ICD9 272']",841
"['ICD9 250', 'ICD9 272']",847
"['ICD9 250', 'ICD9 272']",857
"['ICD9 250', 'ICD9 272']",875
"['ICD9 250', 'ICD9 272']",894
"['ICD9 250', 'ICD9 272']",948
"['ICD9 250', 'ICD9 272']",949
"['ICD9 250', 'ICD9 272']",958
"['ICD9 250', 'ICD9 272']",968
"['ICD9 250', 'ICD9 272']",969
"['ICD9 250', 'ICD9 272']",1026
"['ICD9 250', 'ICD9 272']",1036
"['ICD9 250', 'ICD9 272']",1063
"['ICD9 250', 'ICD9 272']",1129
"['ICD9 250', 'ICD9 272']",1173
"['ICD9 250', 'ICD9 272']",1282
"['ICD9 250', 'ICD9 272']",1291
"['ICD9 250', 'ICD9 272']",1312
"['ICD9 250', 'ICD9 272']",1356
"['ICD9 250', 'ICD9 272']",1363
"['ICD9 250', 'ICD9 272']",1374
"['ICD9 250', 'ICD9 272']",1401
"['ICD9 250', 'ICD9 272']",1459
"['ICD9 250', 'ICD9 272']",1460
"['ICD9 250', 'ICD9 272']",1489
"['ICD9 250', 'ICD9 272']",1512
"['ICD9 250', 'ICD9 272']",1535
"['ICD9 250', 'ICD9 272']",1536
"['ICD9 250', 'ICD9 272']",1544
"['ICD9 250', 'ICD9 272']",1636
"['ICD9 250', 'ICD9 272']",1649
"['ICD9 250', 'ICD9 272']",1662
"['ICD9 250', 'ICD9 272']",1727
"['ICD9 250', 'ICD9 272']",1786
"['ICD9 250', 'ICD9 272']",1861
"['ICD9 250', 'ICD9 272']",1889
"['ICD9 250', 'ICD9 272']",1906
"['ICD9 250', 'ICD9 272']",1909
"['ICD9 250', 'ICD9 272']",1910
"['ICD9 250', 'ICD9 272']",1956
"['ICD9 250', 'ICD9 272']",1968
"['ICD9 250', 'ICD9 272']",2011
"['ICD9 250', 'ICD9 272']",2040
"['ICD9 250', 'ICD9 272']",2108
"['ICD9 250', 'ICD9 272']",2113
"['ICD9 250', 'ICD9 272']",2150
"['ICD9 250', 'ICD9 272']",2181
"['ICD9 250', 'ICD9 272']",2200
"['ICD9 250', 'ICD9 272']",2201
"['ICD9 250', 'ICD9 272']",2335
"['ICD9 250', 'ICD9 272']",2621
"['ICD9 250', 'ICD9 272']",2641
"['ICD9 250', 'ICD9 272']",2642
"['ICD9 250', 'ICD9 272']",2645
"['ICD9 250', 'ICD9 272']",2646
"['ICD9 250', 'ICD9 272']",2671
"['ICD9 250', 'ICD9 272']",2677
"['ICD9 250', 'ICD9 272']",2688
"['ICD9 250', 'ICD9 272']",2717
"['ICD9 250', 'ICD9 272']",2740
"['ICD9 250', 'ICD9 272']",2778
"['ICD9 250', 'ICD9 272']",2782
"['ICD9 250', 'ICD9 272']",2784
"['ICD9 250', 'ICD9 272']",2787
"['ICD9 250', 'ICD9 272']",2801
"['ICD9 250', 'ICD9 272']",2802
"['ICD9 250', 'ICD9 272']",2804
"['ICD9 250', 'ICD9 272']",2813
"['ICD9 250', 'ICD9 272']",2820
"['ICD9 250', 'ICD9 272']",2876
"['ICD9 250', 'ICD9 272']",2878
"['ICD9 250', 'ICD9 272']",2888
"['ICD9 250', 'ICD9 272']",2915
"['ICD9 250', 'ICD9 272']",2944
"['ICD9 250', 'ICD9 272']",2963
"['ICD9 250', 'ICD9 272']",3039
"['ICD9 250', 'ICD9 272']",3066
"['ICD9 250', 'ICD9 272']",3082
"['ICD9 250', 'ICD9 272']",3087
"['ICD9 250', 'ICD9 272']",3091
"['ICD9 250', 'ICD9 272']",3098
"['ICD9 250', 'ICD9 272']",3117
"['ICD9 250', 'ICD9 272']",3119
"['ICD9 250', 'ICD9 272']",3123
"['ICD9 250', 'ICD9 272']",3127
"['ICD9 250', 'ICD9 272']",3159
"['ICD9 250', 'ICD9 272']",3162
"['ICD9 250', 'ICD9 272']",3164
"['ICD9 250', 'ICD9 272']",3172
"['ICD9 250', 'ICD9 272']",3240
"['ICD9 250', 'ICD9 272']",3263
"['ICD9 250', 'ICD9 272']",3281
"['ICD9 250', 'ICD9 272']",3290
"['ICD9 250', 'ICD9 272']",3291
"['ICD9 250', 'ICD9 272']",3375
"['ICD9 250', 'ICD9 272']",3383
"['ICD9 250', 'ICD9 272']",3397
"['ICD9 250', 'ICD9 272']",3416
"['ICD9 250', 'ICD9 272']",3458
"['ICD9 250', 'ICD9 272']",3479
"['ICD9 250', 'ICD9 272']",3483
"['ICD9 250', 'ICD9 272']",3485
"['ICD9 250', 'ICD9 272']",3559
"['ICD9 250', 'ICD9 272']",3569
"['ICD9 250', 'ICD9 272']",3586
"['ICD9 250', 'ICD9 272']",3597
"['ICD9 250', 'ICD9 272']",3615
"['ICD9 250', 'ICD9 272']",3630
"['ICD9 250', 'ICD9 272']",3636
"['ICD9 250', 'ICD9 272']",3643
