edge,protein
"['ICD9 401', 'ICD9 198']",26
"['ICD9 401', 'ICD9 198']",34
"['ICD9 401', 'ICD9 198']",111
"['ICD9 401', 'ICD9 198']",118
"['ICD9 401', 'ICD9 198']",150
"['ICD9 401', 'ICD9 198']",153
"['ICD9 401', 'ICD9 198']",156
"['ICD9 401', 'ICD9 198']",161
"['ICD9 401', 'ICD9 198']",166
"['ICD9 401', 'ICD9 198']",183
"['ICD9 401', 'ICD9 198']",185
"['ICD9 401', 'ICD9 198']",186
"['ICD9 401', 'ICD9 198']",196
"['ICD9 401', 'ICD9 198']",208
"['ICD9 401', 'ICD9 198']",210
"['ICD9 401', 'ICD9 198']",213
"['ICD9 401', 'ICD9 198']",246
"['ICD9 401', 'ICD9 198']",301
"['ICD9 401', 'ICD9 198']",308
"['ICD9 401', 'ICD9 198']",335
"['ICD9 401', 'ICD9 198']",348
"['ICD9 401', 'ICD9 198']",355
"['ICD9 401', 'ICD9 198']",358
"['ICD9 401', 'ICD9 198']",367
"['ICD9 401', 'ICD9 198']",382
"['ICD9 401', 'ICD9 198']",387
"['ICD9 401', 'ICD9 198']",467
"['ICD9 401', 'ICD9 198']",475
"['ICD9 401', 'ICD9 198']",476
"['ICD9 401', 'ICD9 198']",477
"['ICD9 401', 'ICD9 198']",481
"['ICD9 401', 'ICD9 198']",486
"['ICD9 401', 'ICD9 198']",488
"['ICD9 401', 'ICD9 198']",489
"['ICD9 401', 'ICD9 198']",490
"['ICD9 401', 'ICD9 198']",492
"['ICD9 401', 'ICD9 198']",523
"['ICD9 401', 'ICD9 198']",537
"['ICD9 401', 'ICD9 198']",551
"['ICD9 401', 'ICD9 198']",596
"['ICD9 401', 'ICD9 198']",598
"['ICD9 401', 'ICD9 198']",617
"['ICD9 401', 'ICD9 198']",624
"['ICD9 401', 'ICD9 198']",635
"['ICD9 401', 'ICD9 198']",673
"['ICD9 401', 'ICD9 198']",718
"['ICD9 401', 'ICD9 198']",775
"['ICD9 401', 'ICD9 198']",781
"['ICD9 401', 'ICD9 198']",796
"['ICD9 401', 'ICD9 198']",836
"['ICD9 401', 'ICD9 198']",841
"['ICD9 401', 'ICD9 198']",847
"['ICD9 401', 'ICD9 198']",857
"['ICD9 401', 'ICD9 198']",875
"['ICD9 401', 'ICD9 198']",894
"['ICD9 401', 'ICD9 198']",948
"['ICD9 401', 'ICD9 198']",949
"['ICD9 401', 'ICD9 198']",1036
"['ICD9 401', 'ICD9 198']",1063
"['ICD9 401', 'ICD9 198']",1071
"['ICD9 401', 'ICD9 198']",1173
"['ICD9 401', 'ICD9 198']",1187
"['ICD9 401', 'ICD9 198']",1215
"['ICD9 401', 'ICD9 198']",1277
"['ICD9 401', 'ICD9 198']",1281
"['ICD9 401', 'ICD9 198']",1291
"['ICD9 401', 'ICD9 198']",1312
"['ICD9 401', 'ICD9 198']",1356
"['ICD9 401', 'ICD9 198']",1374
"['ICD9 401', 'ICD9 198']",1395
