edge,protein
"['ICD9 719', 'ICD9 785']",34
"['ICD9 719', 'ICD9 785']",161
"['ICD9 719', 'ICD9 785']",166
"['ICD9 719', 'ICD9 785']",382
"['ICD9 719', 'ICD9 785']",387
"['ICD9 719', 'ICD9 785']",481
"['ICD9 719', 'ICD9 785']",523
"['ICD9 719', 'ICD9 785']",537
"['ICD9 719', 'ICD9 785']",617
"['ICD9 719', 'ICD9 785']",949
"['ICD9 719', 'ICD9 785']",1063
"['ICD9 719', 'ICD9 785']",1173
"['ICD9 719', 'ICD9 785']",1291
"['ICD9 719', 'ICD9 785']",1312
"['ICD9 719', 'ICD9 785']",1440
"['ICD9 719', 'ICD9 785']",1459
"['ICD9 719', 'ICD9 785']",1460
"['ICD9 719', 'ICD9 785']",1662
"['ICD9 719', 'ICD9 785']",1727
"['ICD9 719', 'ICD9 785']",1786
"['ICD9 719', 'ICD9 785']",1861
"['ICD9 719', 'ICD9 785']",2011
"['ICD9 719', 'ICD9 785']",2040
"['ICD9 719', 'ICD9 785']",2108
"['ICD9 719', 'ICD9 785']",2150
"['ICD9 719', 'ICD9 785']",2181
"['ICD9 719', 'ICD9 785']",2200
"['ICD9 719', 'ICD9 785']",2201
"['ICD9 719', 'ICD9 785']",2671
"['ICD9 719', 'ICD9 785']",2677
"['ICD9 719', 'ICD9 785']",2717
"['ICD9 719', 'ICD9 785']",2782
"['ICD9 719', 'ICD9 785']",2787
"['ICD9 719', 'ICD9 785']",2801
"['ICD9 719', 'ICD9 785']",2802
"['ICD9 719', 'ICD9 785']",2804
"['ICD9 719', 'ICD9 785']",2876
"['ICD9 719', 'ICD9 785']",2963
"['ICD9 719', 'ICD9 785']",3066
"['ICD9 719', 'ICD9 785']",3162
"['ICD9 719', 'ICD9 785']",3281
"['ICD9 719', 'ICD9 785']",3416
"['ICD9 719', 'ICD9 785']",3615
"['ICD9 719', 'ICD9 785']",3688
"['ICD9 719', 'ICD9 785']",4015
"['ICD9 719', 'ICD9 785']",4057
"['ICD9 719', 'ICD9 785']",4139
"['ICD9 719', 'ICD9 785']",4140
"['ICD9 719', 'ICD9 785']",4218
"['ICD9 719', 'ICD9 785']",4240
"['ICD9 719', 'ICD9 785']",4343
"['ICD9 719', 'ICD9 785']",4363
"['ICD9 719', 'ICD9 785']",4598
"['ICD9 719', 'ICD9 785']",4715
"['ICD9 719', 'ICD9 785']",4758
"['ICD9 719', 'ICD9 785']",4884
"['ICD9 719', 'ICD9 785']",4927
"['ICD9 719', 'ICD9 785']",4928
"['ICD9 719', 'ICD9 785']",5046
"['ICD9 719', 'ICD9 785']",5116
"['ICD9 719', 'ICD9 785']",5318
"['ICD9 719', 'ICD9 785']",5327
"['ICD9 719', 'ICD9 785']",5352
"['ICD9 719', 'ICD9 785']",5422
"['ICD9 719', 'ICD9 785']",5447
"['ICD9 719', 'ICD9 785']",5538
"['ICD9 719', 'ICD9 785']",5557
"['ICD9 719', 'ICD9 785']",5558
"['ICD9 719', 'ICD9 785']",5566
"['ICD9 719', 'ICD9 785']",5576
"['ICD9 719', 'ICD9 785']",5577
"['ICD9 719', 'ICD9 785']",5714
"['ICD9 719', 'ICD9 785']",5817
"['ICD9 719', 'ICD9 785']",5861
"['ICD9 719', 'ICD9 785']",5862
"['ICD9 719', 'ICD9 785']",5878
"['ICD9 719', 'ICD9 785']",5898
"['ICD9 719', 'ICD9 785']",5910
"['ICD9 719', 'ICD9 785']",5962
"['ICD9 719', 'ICD9 785']",5976
"['ICD9 719', 'ICD9 785']",6046
"['ICD9 719', 'ICD9 785']",6388
"['ICD9 719', 'ICD9 785']",6728
"['ICD9 719', 'ICD9 785']",6729
"['ICD9 719', 'ICD9 785']",6731
"['ICD9 719', 'ICD9 785']",6902
"['ICD9 719', 'ICD9 785']",6921
"['ICD9 719', 'ICD9 785']",6923
"['ICD9 719', 'ICD9 785']",6938
"['ICD9 719', 'ICD9 785']",7088
"['ICD9 719', 'ICD9 785']",7090
"['ICD9 719', 'ICD9 785']",7458
"['ICD9 719', 'ICD9 785']",7466
"['ICD9 719', 'ICD9 785']",7468
"['ICD9 719', 'ICD9 785']",7812
"['ICD9 719', 'ICD9 785']",7841
"['ICD9 719', 'ICD9 785']",7879
"['ICD9 719', 'ICD9 785']",7905
"['ICD9 719', 'ICD9 785']",7993
"['ICD9 719', 'ICD9 785']",8021
"['ICD9 719', 'ICD9 785']",8453
"['ICD9 719', 'ICD9 785']",8480
"['ICD9 719', 'ICD9 785']",8540
"['ICD9 719', 'ICD9 785']",8546
"['ICD9 719', 'ICD9 785']",8614
"['ICD9 719', 'ICD9 785']",8733
"['ICD9 719', 'ICD9 785']",8737
"['ICD9 719', 'ICD9 785']",8754
"['ICD9 719', 'ICD9 785']",8761
"['ICD9 719', 'ICD9 785']",8836
"['ICD9 719', 'ICD9 785']",8975
"['ICD9 719', 'ICD9 785']",9136
"['ICD9 719', 'ICD9 785']",9188
"['ICD9 719', 'ICD9 785']",9368
"['ICD9 719', 'ICD9 785']",9470
"['ICD9 719', 'ICD9 785']",9510
"['ICD9 719', 'ICD9 785']",9512
"['ICD9 719', 'ICD9 785']",9518
"['ICD9 719', 'ICD9 785']",9529
"['ICD9 719', 'ICD9 785']",9648
"['ICD9 719', 'ICD9 785']",9653
"['ICD9 719', 'ICD9 785']",9659
"['ICD9 719', 'ICD9 785']",9662
"['ICD9 719', 'ICD9 785']",9755
"['ICD9 719', 'ICD9 785']",9818
"['ICD9 719', 'ICD9 785']",9857
"['ICD9 719', 'ICD9 785']",9868
"['ICD9 719', 'ICD9 785']",9898
"['ICD9 719', 'ICD9 785']",9908
"['ICD9 719', 'ICD9 785']",9978
"['ICD9 719', 'ICD9 785']",10142
"['ICD9 719', 'ICD9 785']",10146
"['ICD9 719', 'ICD9 785']",10157
"['ICD9 719', 'ICD9 785']",10193
"['ICD9 719', 'ICD9 785']",10199
"['ICD9 719', 'ICD9 785']",10204
"['ICD9 719', 'ICD9 785']",10238
"['ICD9 719', 'ICD9 785']",10270
"['ICD9 719', 'ICD9 785']",10280
"['ICD9 719', 'ICD9 785']",10283
"['ICD9 719', 'ICD9 785']",10295
"['ICD9 719', 'ICD9 785']",10426
"['ICD9 719', 'ICD9 785']",10463
"['ICD9 719', 'ICD9 785']",10516
"['ICD9 719', 'ICD9 785']",10525
"['ICD9 719', 'ICD9 785']",10531
"['ICD9 719', 'ICD9 785']",10569
"['ICD9 719', 'ICD9 785']",10577
"['ICD9 719', 'ICD9 785']",10632
"['ICD9 719', 'ICD9 785']",10844
"['ICD9 719', 'ICD9 785']",10890
"['ICD9 719', 'ICD9 785']",10897
"['ICD9 719', 'ICD9 785']",10956
"['ICD9 719', 'ICD9 785']",10960
"['ICD9 719', 'ICD9 785']",11001
"['ICD9 719', 'ICD9 785']",11064
"['ICD9 719', 'ICD9 785']",11101
"['ICD9 719', 'ICD9 785']",11113
"['ICD9 719', 'ICD9 785']",11116
"['ICD9 719', 'ICD9 785']",11190
"['ICD9 719', 'ICD9 785']",11340
"['ICD9 719', 'ICD9 785']",22931
"['ICD9 719', 'ICD9 785']",22937
"['ICD9 719', 'ICD9 785']",22981
"['ICD9 719', 'ICD9 785']",23065
"['ICD9 719', 'ICD9 785']",23071
