edge,protein
"['ICD9 401', 'ICD9 719']",26
"['ICD9 401', 'ICD9 719']",34
"['ICD9 401', 'ICD9 719']",111
"['ICD9 401', 'ICD9 719']",118
"['ICD9 401', 'ICD9 719']",150
"['ICD9 401', 'ICD9 719']",153
"['ICD9 401', 'ICD9 719']",156
"['ICD9 401', 'ICD9 719']",161
"['ICD9 401', 'ICD9 719']",166
"['ICD9 401', 'ICD9 719']",183
"['ICD9 401', 'ICD9 719']",185
"['ICD9 401', 'ICD9 719']",186
"['ICD9 401', 'ICD9 719']",196
"['ICD9 401', 'ICD9 719']",208
"['ICD9 401', 'ICD9 719']",210
"['ICD9 401', 'ICD9 719']",213
"['ICD9 401', 'ICD9 719']",246
"['ICD9 401', 'ICD9 719']",301
"['ICD9 401', 'ICD9 719']",308
"['ICD9 401', 'ICD9 719']",335
"['ICD9 401', 'ICD9 719']",348
"['ICD9 401', 'ICD9 719']",355
"['ICD9 401', 'ICD9 719']",358
"['ICD9 401', 'ICD9 719']",367
"['ICD9 401', 'ICD9 719']",382
"['ICD9 401', 'ICD9 719']",387
"['ICD9 401', 'ICD9 719']",467
"['ICD9 401', 'ICD9 719']",475
"['ICD9 401', 'ICD9 719']",476
"['ICD9 401', 'ICD9 719']",477
"['ICD9 401', 'ICD9 719']",481
"['ICD9 401', 'ICD9 719']",486
"['ICD9 401', 'ICD9 719']",488
"['ICD9 401', 'ICD9 719']",489
"['ICD9 401', 'ICD9 719']",490
"['ICD9 401', 'ICD9 719']",492
"['ICD9 401', 'ICD9 719']",523
"['ICD9 401', 'ICD9 719']",537
"['ICD9 401', 'ICD9 719']",551
"['ICD9 401', 'ICD9 719']",596
"['ICD9 401', 'ICD9 719']",598
"['ICD9 401', 'ICD9 719']",617
"['ICD9 401', 'ICD9 719']",624
"['ICD9 401', 'ICD9 719']",635
"['ICD9 401', 'ICD9 719']",673
"['ICD9 401', 'ICD9 719']",718
"['ICD9 401', 'ICD9 719']",775
"['ICD9 401', 'ICD9 719']",781
"['ICD9 401', 'ICD9 719']",796
"['ICD9 401', 'ICD9 719']",836
"['ICD9 401', 'ICD9 719']",841
"['ICD9 401', 'ICD9 719']",847
"['ICD9 401', 'ICD9 719']",857
"['ICD9 401', 'ICD9 719']",875
"['ICD9 401', 'ICD9 719']",894
"['ICD9 401', 'ICD9 719']",948
"['ICD9 401', 'ICD9 719']",949
"['ICD9 401', 'ICD9 719']",1036
"['ICD9 401', 'ICD9 719']",1063
"['ICD9 401', 'ICD9 719']",1071
"['ICD9 401', 'ICD9 719']",1173
"['ICD9 401', 'ICD9 719']",1187
"['ICD9 401', 'ICD9 719']",1215
"['ICD9 401', 'ICD9 719']",1277
"['ICD9 401', 'ICD9 719']",1281
"['ICD9 401', 'ICD9 719']",1291
"['ICD9 401', 'ICD9 719']",1312
