edge,protein
"['ICD9 379', 'ICD9 401']",24
"['ICD9 379', 'ICD9 401']",34
"['ICD9 379', 'ICD9 401']",116
"['ICD9 379', 'ICD9 401']",161
"['ICD9 379', 'ICD9 401']",166
"['ICD9 379', 'ICD9 401']",196
"['ICD9 379', 'ICD9 401']",382
"['ICD9 379', 'ICD9 401']",387
"['ICD9 379', 'ICD9 401']",481
"['ICD9 379', 'ICD9 401']",523
"['ICD9 379', 'ICD9 401']",537
"['ICD9 379', 'ICD9 401']",582
"['ICD9 379', 'ICD9 401']",583
"['ICD9 379', 'ICD9 401']",585
"['ICD9 379', 'ICD9 401']",617
"['ICD9 379', 'ICD9 401']",652
"['ICD9 379', 'ICD9 401']",762
"['ICD9 379', 'ICD9 401']",778
"['ICD9 379', 'ICD9 401']",949
"['ICD9 379', 'ICD9 401']",1001
"['ICD9 379', 'ICD9 401']",1063
"['ICD9 379', 'ICD9 401']",1121
"['ICD9 379', 'ICD9 401']",1173
"['ICD9 379', 'ICD9 401']",1200
"['ICD9 379', 'ICD9 401']",1201
"['ICD9 379', 'ICD9 401']",1203
"['ICD9 379', 'ICD9 401']",1258
"['ICD9 379', 'ICD9 401']",1259
"['ICD9 379', 'ICD9 401']",1261
"['ICD9 379', 'ICD9 401']",1280
"['ICD9 379', 'ICD9 401']",1282
"['ICD9 379', 'ICD9 401']",1291
"['ICD9 379', 'ICD9 401']",1297
"['ICD9 379', 'ICD9 401']",1298
"['ICD9 379', 'ICD9 401']",1301
"['ICD9 379', 'ICD9 401']",1302
"['ICD9 379', 'ICD9 401']",1312
"['ICD9 379', 'ICD9 401']",1406
"['ICD9 379', 'ICD9 401']",1459
"['ICD9 379', 'ICD9 401']",1460
"['ICD9 379', 'ICD9 401']",1462
"['ICD9 379', 'ICD9 401']",1509
"['ICD9 379', 'ICD9 401']",1545
"['ICD9 379', 'ICD9 401']",1593
"['ICD9 379', 'ICD9 401']",1662
"['ICD9 379', 'ICD9 401']",1678
"['ICD9 379', 'ICD9 401']",1727
"['ICD9 379', 'ICD9 401']",1786
"['ICD9 379', 'ICD9 401']",1861
"['ICD9 379', 'ICD9 401']",2011
"['ICD9 379', 'ICD9 401']",2040
"['ICD9 379', 'ICD9 401']",2055
"['ICD9 379', 'ICD9 401']",2108
"['ICD9 379', 'ICD9 401']",2150
"['ICD9 379', 'ICD9 401']",2181
"['ICD9 379', 'ICD9 401']",2200
"['ICD9 379', 'ICD9 401']",2201
"['ICD9 379', 'ICD9 401']",2202
"['ICD9 379', 'ICD9 401']",2296
"['ICD9 379', 'ICD9 401']",2671
"['ICD9 379', 'ICD9 401']",2677
"['ICD9 379', 'ICD9 401']",2717
"['ICD9 379', 'ICD9 401']",2779
